PDB_ID	bits
7k1iA	9.696
2xa4A	9.696
5zjiD	9.696
4qfgA	9.696
3qf7B	9.696
5b3rA	9.696
6dn4A	9.696
3ls2D	9.696
4eqmF	9.696
7lbmz	9.696
4folA	9.08
4folB	9.08
4folD	9.08
2fggA	9.08
8aa2M	9.08
8jx6B	9.08
8bbgE	9.08
3mkaI	9.08
3d5vA	9.08
2wymC	9.08
6zzyD	9.08
6tg1A	9.08
4jq7A	9.08
7lg8B	9.08
2oncC	9.08
5trrT	9.08
4e20A	9.08
5vftl	9.08
5trcB	8.502
8fkrLE	8.502
7yjmB	8.502
3hf9h	8.502
5cf8A	8.502
6gghA	8.502
5vtaB	8.502
1ucjB	8.502
6oczG	8.502
6s1fD	8.502
2ya3B	8.502
4ealB	8.502
7jijA	8.502
4k2rA	7.962
6y2qB	7.962
5tg4A	7.962
8gccB	7.962
2h6jH	7.962
2wymA	7.962
7m74B	7.962
8ewyB	7.962
6hzuB	7.962
