PDB_ID	bits
2yjnB	0.0007225
6hqgC	4.211e-07
6hqgB	1.56e-07
5bv5B	1.039e-07
8gtlB	9.076e-08
4dxyA	5.779e-08
5bv5C	4.408e-08
6hqgD	4.028e-08
5kyoF	2.683e-08
5h1zA	1.87e-08
4fxbA	1.708e-08
5bv5A	1.708e-08
2rfbA	1.191e-08
6hqtA	1.138e-08
5hh3C	9.939e-09
3be0A	9.081e-09
6l3aB	8.681e-09
4l36B	7.247e-09
2rfbC	6.329e-09
3nv5A	6.05e-09
5mnvG	6.05e-09
3ofuF	5.527e-09
6ycmA	5.05e-09
2rfcA	4.827e-09
1uedA	4.614e-09
1uedB	4.216e-09
6hqrA	4.03e-09
3ofuC	4.03e-09
3e5kA	3.852e-09
2cp4A	3.852e-09
6wgwB	3.52e-09
6hqnA	3.52e-09
6hqmA	3.52e-09
4tvfA	3.364e-09
6yckA	3.216e-09
3wriB	3.216e-09
6ycoA	3.074e-09
2rclB	3.074e-09
2x9pA	2.938e-09
6ycnA	2.938e-09
4c9oB	2.809e-09
1t2bA	2.809e-09
6yclA	2.809e-09
5mnvE	2.566e-09
3nc6A	2.241e-09
8gtlA	2.142e-09
6g5qB	2.048e-09
6hqwA	1.957e-09
5kyoA	1.957e-09
6g5oA	1.957e-09
