PDB_ID	bits
7n6g1R	0.3533
1uhkB	0.2714
1s36A	0.2227
7eg2A	0.2227
6iihB	0.2085
3sx9A	0.2085
1c07A	0.1827
7sqcE3	0.171
7sqcE1	0.1601
8snb7I	0.1499
2scpB	0.1403
8a9sB	0.1314
1ij6A	0.1314
4mewA	0.123
6lb7B	0.1151
4c0jA	0.1151
2hq8A	0.1078
1jf2A	0.1009
1jbaA	0.09447
5ypxB	0.09447
8th8Q	0.09447
4nqgB	0.08844
3t3uA	0.08844
3cs1A	0.0828
1qxpA	0.07751
2g2bA	0.07257
8g3d7R	0.07257
8actC	0.06794
8g4lE	0.0636
7moqT	0.0636
6agiA	0.0636
1kfuL	0.0636
4n1gB	0.0636
4ndcB	0.05954
4by4B	0.05954
6kthA	0.05574
8actD	0.05574
6so3D	0.05218
8c6oB	0.05218
3n51A	0.05218
3kpxA	0.04885
3bowA	0.04885
1f4qA	0.04573
8g4la	0.04281
6agiB	0.04281
7rroI4	0.04281
8otzF	0.04281
6sl2A	0.04008
5x9aB	0.03752
5mraC	0.03752
