PDB_ID	bits
6suwJ	9.545
5l8fA	9.545
5l8gN	9.545
5j0kB	8.958
1a4oD	8.958
5j73C	8.958
8fhbA	8.958
6suwE	8.958
8ivzA	8.958
5j0kA	8.958
6suwX	8.958
5l8gE	8.958
7x0zB	8.958
8ij9C	8.958
6qk8B	8.408
6suwK	8.408
5l89Z	8.408
3q84H	8.408
5l8gc	8.408
6suwC	7.891
2d9dA	7.891
4v3pSO	7.891
5jsnD	7.891
1xeqB	7.891
6pyuB	7.891
7vopF	7.891
2ehwC	7.406
3u3bB	7.406
2g0uA	7.406
7shmB	7.406
7shmA	7.406
6suwb	7.406
5j73A	7.406
6sv1U	6.951
5xu0C	6.951
1lrzA	6.951
7fikg	6.524
6ejlB	6.524
2ehwD	6.123
6suwD	6.123
5l8gS	5.746
2x9cB	5.746
5l8gL	5.746
6suwT	5.062
6msrC	4.751
2rp4A	4.185
7pubCO	4.185
6msrB	3.927
5wyjSO	3.927
6gy8B	3.686
