PDB_ID	bits
3m1cB	9.91
5jk0B	9.374
7ns0C3	8.867
6t40A	8.388
7wl31	6.716
6rpku	6.716
7c9sB	4.552
7eaiB	3.853
2wg8B	0.4173
2wg7A	0.2676
3n7xA	0.002012
6wh3A	0.001442
1dnvA	0.0007824
8eu5A	0.0005606
6wh7A	0.0005606
4mguA	0.0003799
8erkA	0.0003594
3p0sA	9.405e-07
8t9cA	4.567e-07
8t9eA	4.087e-07
8tjeA	1.776e-07
8ta7A	3.961e-08
7utsE	8.989e-12
7utpD	2.798e-12
7utpC	1.179e-13
7utrC	1.524e-19
7utuC	3.3990000000000004e-20
7utvC	3.215e-20
7utsB	1.477e-20
7utvD	1.9359999999999998e-22
7utsF	4.565e-23
7utsI	2.927e-23
7utrD	1.8759999999999998e-23
7utuD	1.203e-23
7utuI	1.103e-24
7utvB	6.689e-25
7utpB	3.248e-25
7utuB	2.3270000000000003e-25
7utrI	2.201e-25
1ijsP	1.263e-25
7utvI	1.069e-25
8ep2A	6.853e-26
7utrB	6.853e-26
1fpvA	6.853e-26
1c8eA	6.133e-26
7utuG	5.488000000000001e-26
4qykA	3.932e-26
4dpvZ	2.5210000000000002e-26
1k3vA	2.3840000000000003e-26
6bx1A	1.2240000000000001e-26
