PDB_ID	bits
6vq7g	9.234
7khrn	7.13
1brdA	6.83
7uzgj	6.266
6wm42	6.001
3aouB	5.506
5voxW	5.274
7uwai	4.634
7uzhm	4.252
7u8ro	2.885
4jq6C	2.428
5vexA	2.428
4jq6A	2.228
5ee7A	1.387
6kk1A	0.941
6kjvA	0.7586
4knfD	0.5611
6kk7A	0.4333
5lxgA	0.4333
4klyD	0.3493
6yxfA	0.307
4jq6B	0.307
5xf1B	0.2816
4gycA	0.2475
7zn0B	0.227
7zmyA	0.1995
7b03A	0.183
8jiqR	0.1608
6e3yR	0.1139
6uvaR	0.1091
7vvnR	0.1001
7wbjR	0.09186
1jgjA	0.08427
7tyxR	0.07406
7xkeR	0.07093
5uz7R	0.05477
6uunR	0.05477
7tyoR	0.04416
7lllR	0.0423
8fltR	0.04051
8tb7R	0.04051
7tyiR	0.04051
6xoxR	0.0388
7sf8A	0.0356
7ewlB	0.03266
7ydmR	0.02522
7finR	0.02314
8flsR	0.02314
7xkfR	0.02216
7y36R	0.02216
A0A672TN10	4.598
A0A060WCR4	2.028
A0A6P7KV42	1.635
A0A2I2U8A0	1.018
A0A3P9BFF9	0.7528
A0A4Z2EY59	0.3944
A0A5J5DEI5	0.2067
A0A315W3B5	0.198
A0A6G1PPH9	0.174
A0A1L8FGZ7	0.174
A0A315VUZ1	0.09935
A0A3P9BIL5	0.08362
A0A6G1PXX7	0.08362
A0A060VSL8	0.07348
A0A1L8FWR9	0.07038
W5NLW3	0.07038
W5N5N0	0.06742
M1EI21	0.06742
A0A3Q3GNP7	0.06457
A0A6P6M9Q5	0.05924
A0A3P9ASX5	0.05924
A0A6P6MX54	0.05435
A0A315VSW4	0.05206
A0A315VS57	0.05206
A0A3Q2FE97	0.04986
A0A6P7LMX8	0.04986
A0A6P7L2G7	0.04575
A0A060VNF4	0.04382
A0A3Q3KEV1	0.0402
A0A4Z2F9S8	0.03688
A0A6P7LFT3	0.03383
A0A3Q2Z7D0	0.03241
A0A5J5DEG3	0.02848
A0A3Q2Z9V3	0.02848
A0A315VU90	0.02728
A0A3P8ZU65	0.02502
A0A315WAB5	0.02397
A0A5J5DBV5	0.02397
A0A3B4WTW4	0.02199
A0A4Z2F373	0.02106
A0A3Q3R5K1	0.02106
A0A3M0KJ63	0.01773
A0A7T3U101	0.01698
A0A7N6B4X9	0.01626
A0A3Q2YEK5	0.01626
A0A091KHQ6	0.01558
A0A341CRT7	0.01558
A0A091KGP1	0.01558
A0A3Q3D7S5	0.01311
A0A7L0CSD2	0.01203
