PDB_ID	bits
2czuB	9.916
8ctaO	7.611
5tc2B	6.16
5hotA	5.541
4noyD	5.541
5zr4B	5.256
5xy3E	5.256
6u8qP	4.484
8ctaK	4.484
7u32A	4.034
5dy9F	4.034
6puyB	3.826
8ctaG	3.629
6vdkJ	3.629
6gwkG	3.629
8fn7B	3.265
8cbtA	2.937
8fnjB	2.937
6rwoD	2.786
4bdyA	2.642
6rwlA	2.642
6rwoI	2.642
8cbrC	2.506
8cbuC	2.506
8ctaH	2.506
5mg8D	2.028
7pj6AAA	1.923
3bz7A	1.923
6rwlB	1.73
4y91F	1.641
6puyC	1.4
7podA	1.4
6rwlD	1.4
4noyA	1.133
4q2wA	1.075
3qsuA	1.075
1tudA	0.9669
2kq8A	0.9171
3oylA	0.7039
2kxdA	0.5403
6mbwA	0.4373
1ri9A	0.3934
1y1uC	0.3539
4krtB	0.2716
6gmeB	0.2576
7ubtA	0.2444
7undM	0.2444
2krsA	0.2198
5bndC	0.1518
6bioA	0.1518
