PDB_ID	bits
7sirA	7.5
3edmA	4.514
8v8xA	4.033
3edmB	3.602
5a5fA	3.405
6xeqB	3.218
1uagA	3.042
2uagA	3.042
2jfgA	3.042
6iunA	3.042
6oz7H	2.717
2jffA	2.717
7bvbA	2.717
2vtdA	2.427
2uuoA	2.427
6oz7E	2.427
8v8wA	2.427
6toeE	2.427
1zcjA	2.294
3uagA	2.294
4g74A	2.168
1kjqA	2.168
2wtbA	2.049
4uagA	2.049
1gv1D	1.937
5u5gB	1.831
7y8kA	1.73
6bwtA	1.73
6bwtD	1.73
7o4uA	1.635
3itjC	1.461
1pgnA	1.461
6xeqD	1.461
6smtB	1.381
6toeF	1.381
8oh5C	1.305
2w8zA	1.233
5w4cA	1.233
2we8B	1.233
1pgjB	1.233
6tnmA	1.166
2whdA	1.166
3ntdA	1.166
1eehA	1.102
2y68A	1.102
1orrA	1.102
8c79B	1.102
2iz0B	0.9843
5ojlA	0.9843
1kjjA	0.9843
F7BAR0	0.0164
A0A3L7H4Z4	0.009872
A0A833ZFC1	0.0008729
A0A6A4STF3	0.000737
A0A6D2XNT5	2.109e-05
A0A6G1R671	7.639e-06
A0A673U7K3	7.22e-06
A0A2K6MS67	3.882e-06
A0A6Q2YSZ9	3.468e-06
A0A287B4U1	3.278e-06
A0A671UIE1	2.928e-06
A0A667Z0P5	2.472e-06
A0A673J3J7	2.208e-06
A0A6Q2XCJ1	2.208e-06
A0A060XXW6	2.087e-06
A0A803SUB9	1.973e-06
A0A6P3I577	1.973e-06
O97556	1.762e-06
H2TFT5	1.574e-06
A0A3S2P3N7	1.256e-06
A0A5N4C4Q0	1.256e-06
A0A315VB58	9.475e-07
A0A662YUC6	9.475e-07
A0A6P8P4V7	8.464e-07
I3KI80	7.561e-07
A0A7N9I9W3	5.703e-07
A0A4W5JX91	5.39e-07
A0A091EFH0	4.301e-07
A0A4S2KN43	3.842e-07
Q9VLB7	3.632e-07
A0A6P6NP32	3.432e-07
A0A2G9PUH3	3.432e-07
A0A287BPJ1	3.432e-07
A0A158QLN4	2.898e-07
A0A1V9X6F3	2.589e-07
A0A5G2QSK4	1.243e-07
A0A833ZCV9	7.918e-08
A0A673CD89	5.645e-08
A0A481SYU3	4.766e-08
A0A833ZDE9	4.257e-08
A0A1I8CGX9	3.595e-08
A0A068RGD0	3.211e-08
A0A7G2FCB2	3.035e-08
A0A7J6M885	2.711e-08
K1VBP5	1.933e-08
A0A0W0FGU8	1.231e-08
A0A7J7HZZ9	1.039e-08
A0A5N6LBQ1	8.293e-09
A0A4W4H707	8.293e-09
A0A0P1B9U0	7.408e-09
