PDB_ID	bits
3j04D	9.533
1i84V	9.533
3qo6B	9.533
2n8aA	9.533
8otzAV	9.533
5ejkF	9.533
5zwzA	9.533
8e14C	9.012
8q4eB	8.519
3fdrA	8.519
3qr0A	8.053
3omgB	8.053
7svjA	8.053
6iipB	8.053
3oynA	8.053
7mkuB	8.053
1s9cH	8.053
1br1G	8.053
4av1D	7.613
5m05A	7.613
2cs2A	7.613
5y7pD	7.197
8bltA	7.197
3pifD	7.197
7ku7C	6.804
6pi7D	6.804
2otgA	6.804
7sveD	6.432
7ut1c	6.432
8e14G	6.432
1sr6A	6.432
5t45A	6.08
5z78C	6.08
5ejkG	6.08
1rj2J	5.748
1s9cJ	5.748
7ku7F	5.748
7yt9B	5.748
8cezB	5.433
7ut1H	5.433
6ie4A	5.433
6iluB	5.433
5jlhG	5.433
1qviA	5.433
4iupA	5.433
7ut1C	5.433
5ejkH	5.136
7cfbA	5.136
5ejkD	4.856
5ejkE	4.856
