PDB_ID	bits
4ue4C	9.687
5mrc66	9.687
2pxqA	9.687
2qwwF	9.687
1qpzA	9.687
2pueA	9.687
1f07A	9.152
3hugC	9.152
8d8k6	9.152
7l1iA	9.152
3hugM	9.152
6t1fD	9.152
3g33D	9.152
6y93A	8.647
1enhA	8.647
7nvuM	8.647
1rr7A	8.169
1lccA	8.169
6ideB	8.169
7lq4A	8.169
7ol9A	8.169
3fzvB	8.169
2w48D	8.169
6zj2C	7.292
7tz1A	7.292
4xcoD	7.292
5clvF	7.292
5w43A	7.292
5vxnC	7.292
3hugE	6.89
1s4kB	6.89
5vxnA	6.89
5w8zA	6.89
2n5gA	6.89
2l1pA	6.89
1efaB	6.89
6zixA	6.89
6wnmA	6.509
3hugA	6.509
2pe5B	6.509
2h8rB	6.15
5v5uB	6.15
7zcvA	5.81
6uglA	5.81
5w8yA	5.489
7p7cE	5.489
2csfA	5.489
2l49B	5.186
5d4z5	4.9
6x6fD	4.9
