PDB_ID	bits
5uk5B	9.549
5mw5A	9.036
7nycG	9.036
3ho5B	8.09
4pj9C	7.656
8b0hH	6.855
4cc1B	6.486
4z6aL	6.486
4pjfG	6.137
1uzjC	5.495
5kxhB	5.495
6h04C	4.656
1f7eA	4.169
1ff7A	4.169
7nydD	3.342
1j9cL	3.162
4cbzA	2.832
3zygB	2.535
2ygqA	2.535
1bf9A	2.535
5l0sB	2.399
5ky2B	2.399
1m11R	2.27
5l0rB	2.27
5ub5B	2.148
1lmjA	1.923
1w2kL	1.82
4ylqL	1.82
2puqL	1.82
1fakL	1.63
8b0hD	1.63
1f7mA	1.63
8b0fD	1.63
3tbdA	1.542
8b0gD	1.459
4bdxA	1.381
3ojyB	1.236
5ky4B	1.17
2flbL	1.107
1tozA	1.107
3zyjD	0.991
3zyiB	0.991
5b1rA	0.9378
5l0uB	0.9378
1ixaA	0.9378
1dvaM	0.8397
1xkbA	0.8397
4xbmB	0.7518
5ky7B	0.6732
8cn9D	0.5107
