PDB_ID	bits
4ud5B	9.448
3hty_L	9.448
2pqtA	9.448
4bdeA	9.448
2zvzB	9.448
7ckoB	8.843
7pogA	8.843
3w1zD	8.843
6ehrF	8.843
2ygdA	8.843
6jwpD	8.277
3k44A	8.277
3hn5B	8.277
4xpqA	8.277
3tixB	8.277
7bzw1	8.277
4ydzA	7.747
5gt1A	7.747
1s9cH	7.747
1srpA	7.251
2bolA	7.251
7u1zB	7.251
3ebmB	7.251
3p3kA	7.251
5ohyD	6.787
3l1eA	6.787
4uoiE	6.787
6jfwB	6.787
6izeA	6.353
8fxsD	6.353
1satA	6.353
3kvpD	6.353
3l1fA	5.946
6j9eJ	5.946
4fuwA	5.566
5zulE	4.876
5ty7A	4.564
5i4qA	4.564
5yk5A	4.564
5trvA	3.998
4khbG	3.998
2l1sA	3.742
6l6mA	3.742
7ljcA	3.503
6fcoF	3.503
7ck4A	3.503
1u2xB	3.279
1ifqA	2.516
5yclD	1.931
7btzA	0.9329
A0A0Q5ZE35	0.01643
A0A0Q7Z0T3	0.009059
A0A2S9QEH2	0.002578
A0A317E0Q9	0.002578
A0A7R7BIZ6	0.002413
A0A366ETF8	0.002114
A0A154VPC6	0.001978
A0A5E7Y060	0.001852
A0A321L973	0.00133
A0A7W6J8W9	0.001245
A0A512N898	0.001165
A0A068TA93	0.001091
A0A0C1NGF2	0.0009557
A0A258V667	0.0009557
A0A7W6EVW6	0.0008945
A0A2R4WEX1	0.0008373
A0A7C8LIN2	0.0007837
A0A2D6CU74	0.0007335
A0A259DV40	0.0007335
A0A2M8UEA7	0.0006866
A0A7R7C3T6	0.0006426
A0A838VD59	0.0006426
A0A0R3DGX8	0.0006426
A0A2M8UKZ8	0.0004932
A0A2P5NJJ3	0.0004616
A0A1C3WL13	0.0004616
A0A2V5U144	0.0004616
I3TU68	0.0004321
A0A5B2VFP5	0.0004321
A0A7Y1UJH4	0.0004321
A0A560FIV8	0.0004044
A0A846FG40	0.0004044
A0A2N3PXL1	0.0003786
A0A198YY54	0.0003786
A0A0W8G737	0.0003543
A0A397NPG5	0.0003543
A0A537M7U5	0.0003543
A0A848Y845	0.0003316
A0A1I3Y9M4	0.0003104
A0A549SW56	0.0002905
A0A564FXU4	0.0002905
A0A0Q8FHX4	0.0002719
A0A7V8RF44	0.0002719
A0A358HV00	0.0002719
A0A418W9K7	0.0002545
A0A6I6MSU6	0.0002545
A0A258GN51	0.0002545
A0A1Q3KFW9	0.0002545
A0A1I7CTE9	0.0002382
A0A1G1C3U1	0.0002382
