PDB_ID	bits
7ohpN	3.572
6n1pB	2.712
4fpwB	1.187
5fr7B	0.6842
6vu7A	0.5489
4dceB	0.4916
7dfgA	0.3944
6vu7D	0.3343
8gmbA	0.2036
2yjrA	0.1927
6pl1A	0.1824
3uc4B	0.1726
6cdtA	0.1463
5kmnA	0.1463
2yhvA	0.1385
4gt5A	0.124
4anlA	0.1174
5kz0A	0.1174
5aabA	0.1051
8f7oB	0.09418
4pu4B	0.08913
1snxB	0.08913
7r61A	0.07983
3w8qA	0.0715
2yfxA	0.0715
5aacA	0.0715
6egeD	0.06767
7d4fA	0.06767
2xp2A	0.06404
3uc4A	0.06404
4y93A	0.06404
3tv4A	0.06404
3idpB	0.06061
8dksA	0.06061
4ansA	0.06061
3fmeA	0.05736
3vs0A	0.05736
2pmiA	0.05736
4knbD	0.05429
8gxsHI	0.05429
7l5oA	0.05429
6fer_K	0.05138
3os3A	0.05138
3udbE	0.05138
3ujgA	0.04863
5o2bA	0.04863
5valA	0.04863
8c7xA	0.04863
7xbrE	0.04863
5o26A	0.04863
A0A498RZL9	0.2559
A0A4S1ECS7	0.1647
A0A0T6ZBX1	0.1475
A0A1G9P3P4	0.125
A0A854Y1V7	0.08985
A0A7Y6Q8J8	0.08504
A0A085FM66	0.07208
A0A7W1V8L9	0.05783
A0A7V2P6B6	0.05179
A0A7J5TV88	0.04639
A0A7G7FVQ3	0.04391
A0A0J1DQ73	0.04391
A0A0G2Z9P4	0.03155
A0A2W4LFB1	0.03155
A0A7Y5PDP2	0.03155
A0A7S8E9F8	0.02531
A0A549UEK0	0.02531
A0A7W8LRQ1	0.02531
A0A386WEW9	0.02395
A0A2T6BGV9	0.02145
A0A7K2YPZ0	0.0203
A0A238YPH9	0.01922
A0A7Y0J1J5	0.01721
K9L8B7	0.01721
A0A3N7BPW6	0.01721
A0A644YR22	0.01629
A0A7U9PVP9	0.01459
A0A6L9LG48	0.01459
A0A7Y3MY12	0.01381
A0A411HRB4	0.01237
A0A6H2BDV6	0.01237
A0A4R5DQN1	0.01237
A0A6N7GXN7	0.0117
A0A0N0KCZ2	0.0117
A0A2Z3G5F3	0.01108
A0A845K475	0.01048
D1ALY5	0.01048
A0A1H6A426	0.009922
A0A5C8DRL3	0.009922
A0A1H3LZF5	0.008886
A0A1C6RDR8	0.00841
B6VC58	0.007959
A0A600U659	0.007959
A0A3A6NF28	0.007959
A0A654BY47	0.007959
A0A3R6AU05	0.007533
A0A7Y9PXT7	0.007533
A0A074LNS5	0.007129
A0A3D4WM57	0.006043
A0A1L5JK88	0.005123
