PDB_ID	bits
3rncA	9.905
5e78A	9.905
7yjfB	9.905
1darA	9.905
2ij4B	9.905
7y9jA	9.905
1klqA	9.905
5ax6A	9.905
1zl7A	9.905
7mwqB	9.905
6wmuK	9.905
6wgf5	9.905
4hghB	9.905
3ivtA	9.905
3thxB	9.905
7yjdB	9.905
7s01D	9.905
8dsgD	9.241
8dsgC	9.241
4r7qA	9.241
7wdiB	9.241
4o4pB	9.241
6notA	9.241
7wy4B	9.241
3agrA	9.241
2j4sA	9.241
6ly4A	9.241
3zl9A	9.241
3au5A	9.241
4extC	9.241
3e6mA	9.241
5ypzC	9.241
6bi7A	8.622
7wddA	8.622
7wdiA	8.622
5wzmA	8.622
4iduA	8.622
1ijlA	8.622
1np6B	8.622
8qsnA	8.622
8q6p6	8.622
2i9fC	8.622
8jc3B	8.622
4kdpB	8.622
7cusA	8.622
4wg2C	8.622
5cjwB	8.622
7yftB	8.622
5oqj5	8.622
5tdvD	8.622
