PDB_ID	bits
1a5yA	9.816
8fgwC	9.816
7mc9E	9.816
6v2dK	9.816
5qu6R	9.816
4zt6A	9.816
5tquA	9.816
4c3jG	9.816
7qanBBB	9.816
3q7oA	9.816
3kflA	9.816
3a5kA	9.816
8p51A	9.816
8c1vD	9.816
5mmmV	9.816
7d59N	9.816
3q7mA	9.816
4s37Q	9.816
3rayA	9.194
4mw1A	9.194
8ey4A	9.194
7jiyA	9.194
8hqxA	8.611
6i1tA	8.611
2ct3A	8.611
3myhX	8.611
1gcpD	8.611
4zb4B	8.611
2i2lC	8.611
4immA	8.611
3ulpA	8.611
3jboA0	8.611
4mw9A	8.065
8e14C	8.065
1lr7A	8.065
7t3cE	8.065
5ejkG	8.065
4eg3A	8.065
8adlQ	8.065
4zt7A	8.065
5ejkB	8.065
6xqwE	7.554
3mykX	7.554
8f0eB	7.554
4eg6A	7.554
1g26A	7.554
4kikA	7.554
5qu6_U	7.554
5m5xG	7.554
7txjA	7.554
A0A7K8HBG0	0.4016
A0A674HMJ5	0.183
A0A851MPY6	0.1157
A0A493SZ09	0.1157
A0A851DGC1	0.1084
A0A6F9BI53	0.1084
S4RTF5	0.1015
A0A7K7QWV8	0.08905
A4V8B4	0.08905
A0A1B6E1Y0	0.08341
A0A1V4L058	0.08341
A0A6J0XWK5	0.07812
A0A7L3IHA1	0.07317
A0A6P5LT03	0.07317
A0A643C437	0.07317
A0A6G0TQI4	0.06853
A0A6J1QST0	0.06419
A0A2L2YU25	0.06419
A0A286ZHY8	0.06012
A0A6J3JY23	0.06012
A0A0K2UEG7	0.05631
A0A0P5TS32	0.05631
A0A7R8H6I1	0.05274
A0A384AZS2	0.05274
A0A482V815	0.05274
A0A672N6J2	0.05274
A0A2J8PH59	0.04939
A0A822F6J2	0.04626
A0A0J7KLS6	0.04626
Q66HX5	0.04626
A0A6J3AQJ8	0.04333
A0A7M7PQ59	0.04058
A0A2R7WB80	0.04058
N6TBV8	0.04058
A0A7R8H5T2	0.04058
A0A6V7MBS0	0.03801
A0A1B6CH55	0.03801
A0A6P5LW30	0.03801
A0A4Z2BVG3	0.0356
A0A5E4NL08	0.0356
A0A132A5H7	0.0356
A0A803SQI7	0.0356
A0A836JC97	0.03334
D6WT02	0.03334
A0A482XH44	0.03334
A0A293LDB8	0.03334
A0A6J3JW85	0.03334
A0A3Q0JBG0	0.03334
A0A1B6CHY8	0.03334
V9LB74	0.03334
