PDB_ID	bits
3p0cB	9.995
6kr4D	9.995
3g0kA	9.504
4o8jB	9.504
3gwrA	9.037
6n5xA	9.037
2qctB	9.037
3f8xC	9.037
2redA	8.593
5l33A	8.171
5tgiB	8.171
4qdiA	8.171
3p0cA	8.171
5wy2A	7.769
5j8rB	7.769
2nv5C	7.769
4pwzA	7.025
4d3zA	6.68
1jlnA	6.68
2bngC	6.351
6w3fB	6.351
5ts4C	6.351
4bpcA	6.351
4wpyA	6.351
1v2bB	6.039
4lmiA	6.039
7bvbB	6.039
6n5yA	6.039
7bwlA	5.743
2c7sA	5.743
6subA	5.743
4qybB	5.192
2geyB	5.192
3blzD	5.192
4blqA	4.937
3owaA	4.694
3f6hA	4.694
7bn9A	4.694
2ooqB	4.694
1l4sA	4.464
2geyA	4.464
4r80B	4.244
3f40A	4.244
4v4gAa	4.036
3en8A	3.649
6cibF	3.649
2geyC	3.47
4wspA	3.299
6cibE	3.299
6qbzA	3.299
