PDB_ID	bits
1fioA	6.362
5l43B	0.0004837
2qr4B	2.847e-05
2qr4A	5.116e-06
2h1jB	1.03e-07
5lv0A	9.453e-08
3ahoA	4.366e-08
5luzA	4.366e-08
3sksA	4.366e-08
7a03A	3.677e-08
4fxyP	3.375e-08
3ce2A	3.233e-08
5lv0B	2.499e-08
5luzB	1.698e-08
2o3eA	1.313e-08
3dwcD	1.205e-08
3hq2B	1.015e-08
3dwcB	9.722e-09
1i1iP	5.565e-09
5givC	2.8e-09
2o36A	2.26e-09
5e3xA	6.509e-10
1s4bP	4.424e-10
5wvuA	1.875e-10
1j37B	3.767e-41
8t22D	1.182e-41
6s1zA	2.7480000000000002e-42
6s1yA	9.667e-44
2c6nA	5.533999999999999e-44
2c6nB	1.813e-44
2x92A	5.452e-45
6tt1B	1.946e-45
8t23A	1.639e-45
6tt3B	1.1139999999999999e-45
6tt4A	3.209e-46
2ydmA	3.209e-46
8qfxB	2.822e-46
7q4eA	2.7030000000000003e-46
6en6A	2.481e-46
6tt1A	2.0900000000000002e-46
6en6D	1.837e-46
6tt3A	1.6860000000000001e-46
6f9rB	1.4820000000000001e-46
7q26B	1.248e-46
7q4cA	1.196e-46
6tt4B	7.786999999999999e-47
4c2qA	6.282999999999999e-47
5amcA	6.282999999999999e-47
8qfxC	6.282999999999999e-47
6en5B	6.019e-47
G1MC42	0.003059
A0A2K5JE65	0.001297
A0A7K7W213	0.0001653
A0A674INR0	0.0001583
A0A674I6J9	0.0001334
A0A6P7Y5Z2	0.0001224
A0A401PFM8	0.0001031
A0A4Z2BF72	9.063e-05
A0A669PKV0	7.633e-05
A0A3B3BZK3	7.633e-05
A0A1S3SF35	7.006e-05
A0A091D044	4.561e-05
A0A3B5KJZ2	4.186e-05
V8NIH2	3.526e-05
A0A6Q2XE00	2.501e-05
A0A091N9S6	2.295e-05
F6X479	2.199e-05
A0A498NQH2	1.933e-05
G5E7W8	1.259e-05
A0A401RLZ2	4.494e-06
A0A7L3GQF0	4.305e-06
U6DXQ3	4.124e-06
A0A6P4YVZ0	3.785e-06
E9H130	3.474e-06
E9HRD6	2.075e-06
A0A7K5SLV8	1.188e-06
A0A833ZA32	9.183e-07
A0A7K9C1I9	7.735e-07
A0A402FNW6	5.979e-07
Q5XK22	5.979e-07
Q4S4M8	5.256e-07
A0A4Z2GEX4	5.036e-07
A0A7M7RCV7	4.241e-07
A0A803V9G7	3.729e-07
A0A3B3SRS3	3.009e-07
A0A6P4ZJ61	2.326e-07
A0A162SC07	2.045e-07
A0A7N9AZS3	1.877e-07
A0A2Y9PPT2	1.514e-07
A7SEG1	1.514e-07
A0A452RCK6	1.451e-07
M1EB25	1.331e-07
A0A6J0XZW3	9.444e-08
Q6RX62	7.955e-08
A0A553P439	6.418e-08
A0A224XGM1	4.362e-08
C3ZZV4	2.84e-08
A0A6A7G2J0	2.84e-08
A0A7I8VMG9	2.721e-08
A0A7L2HZZ3	2.291e-08
