PDB_ID	bits
2o62A	4.523
3rqbA	3.621
5yvfD	3.621
4h4gA	3.621
3hm0B	3.425
3d6xD	3.425
3cjyA	3.425
3bbjB	3.24
5ep5B	3.24
5dioA	3.24
3hm0C	3.24
2ov9A	3.065
8aycA	3.065
5buwA	3.065
5byuD	3.065
8ah9A	2.899
3u0aB	2.899
2ov9D	2.899
1zkiB	2.899
1u1zD	2.899
3bbjA	2.899
5wh9C	2.899
5wh9A	2.899
4h4gH	2.742
1sxwA	2.742
1u1zC	2.742
5buyB	2.742
8aydBA	2.594
5byuA	2.594
5wh9D	2.454
2f41C	2.454
2gf6C	2.454
3bdrA	2.321
3bnvC	2.195
2egiH	2.195
3e29D	2.195
2oiwC	2.077
8aybA	2.077
2o62B	2.077
4k4cD	2.077
1tbuC	1.964
5wh9B	1.964
4h4gC	1.964
4xmgA	1.858
5buyF	1.858
1z54C	1.858
2at8X	1.757
3r87A	1.757
3r3cA	1.757
3bnvH	1.757
