PDB_ID	bits
4v5yB6	9.793
2d1lB	9.793
3sjaE	9.793
3sjaA	9.793
6kgrA	9.793
5l3dA	9.793
4czzA	9.793
5l3bA	9.793
8abqA	9.793
8apbT1	9.793
5zhyE	9.161
6gkfF	9.161
7ajfa	9.161
6rdhH	9.161
6swgB	9.161
4bpdF	9.161
4j7kD	9.161
3stqF	9.161
5z51B	9.161
4cbkC	9.161
6vmeO	9.161
6hgcA	9.161
3v3cB	8.57
4cbkB	8.57
3zo6M	8.57
4cbjK	8.57
4cbjF	8.57
4cbjE	8.57
3zo6D	8.57
6b87D	8.57
7pqhG	8.57
3g6bB	8.57
7pqhJ	8.57
6rdnJ	8.57
5f3wD	8.57
3v3cK	8.57
4kb4A	8.57
6tmkL1	8.017
3jbnA3	8.017
3av0B	8.017
5ofaA	8.017
3q4hA	8.017
8t8fE	8.017
8a1gB	8.017
6dkmB	8.017
4v9kD2	8.017
6s1kF	8.017
3ur1D	7.499
6b87C	7.499
4n7yB	7.499
A0A2N5A393	9.606
A0A6D0IDH1	9.606
A0A7G2KFH6	9.606
A0A484Y6K9	9.606
A0A6D0EJ62	9.606
A0A2J4XVU7	9.606
A0A2X2TAG1	9.606
A0A377LSY5	9.606
A0A2X3CPJ3	9.606
A0A3S4IEH2	9.606
A0A2X2WM21	9.606
A0A485CP03	9.606
A0A0D8L317	9.606
A0A2X1N3T1	9.606
A0A2X4VZB7	9.606
A0A837Z7U4	9.606
A0A6S6RN55	9.606
A7K0Y8	9.606
A0A349FA06	9.606
A0A7H4NV01	9.606
A0A227J5Z9	9.606
A0A7Y0RPT9	9.606
A0A7X3MC61	9.606
A0A0G3CFV7	9.606
A0A656SFX0	9.606
A0A6L2ZQ05	9.606
A0A2R7NA71	9.606
C0AUF4	9.606
D2U2Z1	9.606
A0A085HCR4	9.606
A0A081RZZ1	9.606
A0A0D1DNQ5	9.606
A0A7T8GDI8	9.606
A0A2R7Q4U9	9.606
A0A3E0TVJ8	9.606
A0A379FKY2	9.606
A0A7R8GIY1	9.606
A0A510UGL5	9.606
A0A291E8F1	9.606
A0A4P7JR00	9.606
A0A2A5T4X8	9.606
A0A2T4CSP1	9.606
A0A2T4CLJ5	9.606
A0A7V2S4M1	9.606
A0A5S3SAH1	9.606
A0A3B8T248	9.606
K6ZB65	9.606
A0A327WZM4	9.606
A0A432XW34	9.606
A0A3D8M5T1	9.606
