PDB_ID	bits
3jr2C	9.481
3pqdA	9.481
1e0jB	8.971
7n1oA	8.971
8ixaI	8.487
5cfzA	8.03
8fzuB	8.03
4c2aA	7.189
4i1iB	6.801
5nueB	6.801
2i1oA	6.089
4alnF	5.45
8hpcD	5.45
2cxxC	5.45
8ft6A	5.157
7un1HG	4.879
8hpcE	4.879
5k27B	4.616
3tyuB	4.616
8j12A	4.616
5kkgA	4.616
6n91B	4.368
8fz4B	4.132
5t9jA	4.132
1gc5A	3.699
4oxnA	3.699
4b8sA	3.699
3cq0B	3.5
5k27A	3.312
5ycrD	3.133
7f49A	3.133
4y97C	3.133
7pwyD	2.964
8ft8A	2.964
1ocbA	2.805
3n2nB	2.805
1lxcA	2.805
3hp4A	2.805
4y97E	2.654
5jouA	2.654
5wvaB	2.654
8dzjA	2.511
5euzA	2.248
7ulhB	2.248
3kzpA	2.248
7xujB	2.127
6w6aA	2.012
7xuhB	1.904
4gxwB	1.904
4cv1H	1.904
A0A0C2JEX1	0.0007331
A0A0A0K5H9	0.0001393
A0A430FWJ1	2.241e-05
A0A6P2BA93	1.219e-05
A0A5C1YC38	9.24e-06
A0A7K0K683	6.272e-06
A0A066U9N2	5.614e-06
A0A847MXZ2	4.499e-06
A0A1F9ASL8	2.889e-06
A0A2S3QHU9	1.571e-06
A0A5J5K218	8.086e-07
A0A401ZNR0	1.624e-07
A0A7Y9ZW60	1.231e-07
A0A7K1H1N5	1.043e-07
R7RUN9	8.831e-08
A0A5A5TBU7	7.479e-08
A0A1H8KZ95	6.335e-08
A0A2V9VYD6	3.849e-08
A0A1F5CRH0	1.981e-08
A0A6S6MX76	1.981e-08
P22505	1.678e-08
A0A537RH15	1.587e-08
A0A2M8Z6U4	1.502e-08
A0A7X9J8N4	1.344e-08
A0A0S7BW82	1.344e-08
A0A499UEJ4	1.344e-08
A0A3N5V049	1.344e-08
A0A5J6SW55	1.272e-08
A0A1Q3T4Q4	1.272e-08
A0A1V4EQ54	1.272e-08
A0A402BAN6	3.368e-09
A0A3E0KDC3	3.187e-09
A0A1Q2CPF8	2.163e-09
P22073	2.047e-09
Q746L1	1.936e-09
A0A1Q7WHV7	1.733e-09
A0A6J6HBM7	1.733e-09
A0A2B8AXF6	1.64e-09
A0A6G9CTP5	1.552e-09
A0A316CKF2	1.468e-09
A0A062Y195	1.468e-09
W6RG33	1.314e-09
A0A248JTI8	1.176e-09
F0SBK6	1.176e-09
A0A812KSA3	1.053e-09
U7DA26	1.053e-09
A0A812YPA4	9.964e-10
A0A1A9N2K2	8.92e-10
A0A1I1HEK3	8.92e-10
A0A4R2QMF7	8.44e-10
