PDB_ID	bits
6w2iA	9.692
2do6B	9.692
4r71C	8.562
2mgwA	8.562
6w2hA	8.562
4ae4A	8.562
3m66A	8.562
4s12B	8.562
4tlgB	8.047
4cqgA	8.047
6xqiG	8.047
2oobA	7.563
6vvoA	7.563
2mr9A	7.563
6l1qC	7.109
2qsfX	7.109
6iewA	7.109
6w2gB	7.109
7f7xB	6.681
2knzA	6.681
1wj7A	6.681
2dklA	6.28
4kblA	5.902
2jy5A	5.902
6c95D	5.547
5he9E	5.547
1wglA	5.547
3f92A	5.214
3agpA	4.9
2lbcA	4.9
1wivA	4.9
2jz0B	4.606
3mmpA	4.606
1zv1B	4.606
6exzA	4.329
1ctfA	4.069
1z96B	4.069
5dflA	4.069
6opfD	3.824
3k9oA	3.824
3avwA	3.594
2do6A	3.594
6jb7A	3.378
2dakA	3.378
2jp7A	3.175
3rxyC	2.984
7t8jA	2.805
4wp2F	2.805
4s12A	2.805
2khhA	2.636
