PDB_ID	bits
8u7iL	9.894
7sbxJ	9.894
8oiqBw	9.894
5wq9A	9.894
8pk0f	9.368
7ahi5G	9.368
5azsC	9.368
4qdbF	9.368
3eivC	9.368
5jk2E	8.87
7qqhA	8.87
5azsA	8.87
6sb5A	8.87
5jk2A	8.87
2z9zA	8.398
1swhD	8.398
6rohC	8.398
6a4mA	8.398
8bo9B	7.952
3jc8Ma	7.952
4k00A	7.529
1x3fB	7.529
3df6D	7.529
4nzfA	7.529
3cjeA	7.128
5wq8A	7.128
4rhbA	7.128
6a97A	6.749
7tt6P	6.749
5ep5B	6.749
7snxA	6.05
5azsB	6.05
7t74H	5.424
7sbxA	5.424
7qqfA	5.424
8fbdD	5.424
4gojD	5.424
7ok7H	5.424
8odnA	4.862
7sfnB	4.604
7sbyB	4.359
5zygA	4.359
5jmdA	4.359
3ga8A	3.908
6a7kB	3.503
8fbfA	3.317
8fbfB	2.815
4rlcA	2.665
6qwrA	2.665
5wqvA	2.524
