PDB_ID	bits
7ohub	0.001541
7fiiA	0.0009891
8h4kA	0.000818
6uvaA	0.0007207
6x19A	0.0006765
6nbiA	0.0006349
8wc5A	0.0003826
8hcxA	0.0003826
8wcaC	0.0003371
8h0pA	0.0002787
7xwoF	0.0002787
7ezkA	0.0002616
8jipA	0.0002456
7ranB	0.0002305
8hj2A	0.0002164
6wwzA	0.0002031
7xw9A	0.0001906
7wu5A	0.0001789
7vuhA	0.0001789
7x1uB	0.0001789
6mq9C	0.0001576
6g79A	0.0001576
7um7B	0.000148
7xp5A	0.0001224
6n12A	0.0001149
7vabA	0.0001149
7sr8A	0.0001078
1u81A	0.0001012
8wc8A	9.498e-05
8jr9A	8.915e-05
7y26B	8.915e-05
7yfdA	8.368e-05
8hl2AEFG	7.854e-05
7wkdA	7.854e-05
7y27B	6.495e-05
7d68A	6.495e-05
7w56A	6.495e-05
7w57A	6.097e-05
8etgb	6.097e-05
7wy8A	6.097e-05
7dhiA	5.723e-05
7ydhA	5.723e-05
8ejkA	5.371e-05
8wc4A	5.371e-05
8wc7A	5.371e-05
7p02A	4.732e-05
6pb1A	4.732e-05
7l1vA	4.442e-05
4z51A	4.442e-05
6nbhA	4.442e-05
A0A091KF78	0.00427
A0A7R9EM95	0.0008766
B4NJ72	0.0002804
A0A673N5M1	8.417e-05
A0A4V6WL62	6.132e-05
A0A6B2LM72	6.132e-05
A0A1Q3FME0	3.695e-05
A0A1Q3EUA6	2.692e-05
M3XEM4	1.341e-05
G7DZE8	1.259e-05
A0A5B0LV43	8.61e-06
K0KIF6	8.61e-06
A0A6B2LFT7	8.082e-06
A0A286UM67	5.888e-06
A0A1L8FGY5	5.888e-06
A0A067QGM5	4.87e-06
A0A673NDK5	2.754e-06
A0A085N506	2.277e-06
A0A0X8HWE5	1.768e-06
A0A1B0CAP1	1.462e-06
G7E1J8	1.135e-06
A0A6B2LMG8	9.998e-07
A0A3Q3PZJ0	9.384e-07
G0WA85	9.384e-07
A0A814TY14	8.268e-07
A0A315W701	7.76e-07
A0A5J5D5X5	7.76e-07
C1L8T5	7.284e-07
A0A1B0CN98	7.284e-07
A0A0V1BG08	6.837e-07
A0A3M0L495	6.837e-07
A0A085NIJ4	6.418e-07
A0A6B2LP03	6.024e-07
A0A821WVJ3	5.654e-07
A0A135UJ40	5.307e-07
A0A315W5X0	5.307e-07
A0A3M0KZG8	4.981e-07
A0A6B2LKH8	4.676e-07
A0A6B2LLQ4	4.676e-07
W5N229	4.676e-07
A0A0P9EIL9	4.389e-07
A0A7R9G3W0	3.629e-07
M3WPC2	3.629e-07
A0A6J3A3W1	3.198e-07
A0A6G0T5J7	3.001e-07
A0A0K8LFN8	3.001e-07
A0A315W5P1	2.644e-07
A0A6B2LNA9	2.482e-07
A0A1E1K923	2.33e-07
A0A6B2LK41	2.33e-07
