PDB_ID	bits
1x8vA	9.801
3gbvB	8.717
1ea1A	7.312
3o77A	6.895
3hskB	6.503
1ky5B	5.144
3gbvA	2.863
4a0gC	0.008155
4a0rB	0.002526
4a0rA	0.002526
4a0fB	0.002382
1c4kA	0.001998
4a0hB	0.001112
4a0fA	0.0008294
4a0hA	0.0006561
6q6iA	0.0006561
1g4vA	0.0006187
4j8lA	0.0005835
4a0gA	0.0005503
5torB	0.0005503
3mebB	0.0003651
4a0gB	0.0003062
5tonA	0.0002284
1yaaC	0.0001704
5tonB	0.0001516
3uakB	0.0001429
4a0gD	7.955e-05
7cwxB	7.955e-05
5hsjA	5.278e-05
7qygA	4.694e-05
1ohvC	3.937e-05
1ordA	3.713e-05
4eu1B	3.302e-05
2r0tB	2.77e-05
8bobB	2.77e-05
4w5kB	2.463e-05
6w80A	2.463e-05
5ax8D	2.323e-05
2x5fB	1.733e-05
2gmsB	1.634e-05
5hsjB	1.541e-05
2zy5F	1.454e-05
6dvsA	1.371e-05
3k28C	1.371e-05
1aseA	1.371e-05
5wmhF	1.293e-05
5ll2A	1.15e-05
6k8hA	9.645e-06
6ezlB	9.096e-06
5xx1E	9.096e-06
G1STQ6	5.784e-06
A0A0P6JGB1	1.791e-06
A0A2Y9KGD4	1.718e-07
A0A7N4P4N9	6.451e-09
A0A6I9IZ83	3.193e-09
F1SIJ9	2.118e-09
G3X3R2	1.884e-09
L5K6D1	1.049e-09
A0A670JQM7	1.049e-09
A0A402EWZ3	9.888e-10
G1KF15	9.325e-10
A0A2I3HJB5	9.325e-10
A0A6A4SLX5	7.822e-10
A0A7K7GHT4	3.247e-10
A0A7J7UQY1	2.032e-10
A0A3P8VFZ5	1.607e-10
A0A210QLK6	1.429e-10
A0A1S3HKY5	7.955e-11
A0A2R9C8R0	6.672e-11
A0A4W4HMH7	4.694e-11
B3M1I2	2.323e-11
H2ZHM9	2.191e-11
A0A2I2YGB2	1.454e-11
B4MBU3	1.219e-11
A0A671L135	1.084e-11
A0A834KST4	5.368e-12
A0A2I3H6X1	2.987e-12
A0A411G6M1	2.987e-12
A0A1B0CAY7	2.817e-12
A0A7M7RET5	2.657e-12
A0A7E4SBN1	2.657e-12
A0A1W0WSB0	2.505e-12
A0A226DXP0	1.478e-12
A0A154PEZ0	1.478e-12
A0A673WY58	1.315e-12
A0A3M7SCX9	1.169e-12
A0A4D5RMY8	1.103e-12
A0A6P7UIM2	9.251e-13
M7BE48	9.251e-13
A0A444UDZ7	4.579e-13
A0A7L1TEQ2	3.038e-13
T1J3S3	3.038e-13
A0A6S7G209	2.137e-13
A0A6G0UNU9	7.018e-14
A0A7R9PUD7	6.242e-14
A0A147B7Y0	5.887e-14
A0A195B6E9	5.552e-14
A0A1J1HLT9	5.552e-14
A0A232ESP0	5.552e-14
A0A0N5B7Y4	4.938e-14
