PDB_ID	bits
6rm3SQ0	9.662
8bh7i	9.662
7kwgi	9.662
3t1oB	9.1
2p8wT	9.1
3zkbL	8.571
7jqxA	8.571
3zkbM	8.571
3zkdA	8.571
3zkbJ	8.571
3zkbH	8.571
5k3aB	8.571
7qizRA	8.571
5njtE	8.073
3zm7B	8.073
5do8C	7.604
3zm7E	7.604
6y0fB	7.604
3cgzB	7.604
4dmhA	7.604
3r3yB	7.604
4dm7C	7.604
5uroA	7.604
4pu9A	7.162
5x8ri	7.162
4wpyA	6.745
8p5dSQ0	6.745
7m4ui	6.745
3zkbC	6.353
3zm7C	6.353
8apoBi	6.353
8a3wSL	6.353
3zm7A	5.984
4mebB	5.984
4i3hB	5.984
4dmfB	5.984
4v76AI	5.984
7oycQ2	5.636
8r57Q	5.636
4v5oBI	5.309
3zm7D	5.309
4dmcD	5.309
6zj3SL	5.309
7qepC6	5.309
8b2lf1	5.0
3wibA	5.0
6r2nB	5.0
3kd2C	4.709
7unwi	4.709
8cstD	4.709
