PDB_ID	bits
7z8bC	9.093
1yjkA	9.093
3mllA	9.093
7zjuC	7.801
3da0C	6.692
4s0sE	6.359
7p99A	6.042
7q60A	5.741
4hanB	5.455
6w3hD	5.183
7zjuA	5.183
8dsnK	4.925
4lhsA	4.925
7o7sB	4.68
2bseC	4.447
7vooA	4.015
1zruC	3.444
7q62A	3.11
2z5bA	2.409
3rj2X	2.409
7q61A	2.409
4ixmA	0.638
4ixnA	0.4462
1s14A	0.0004744
3fv5A	0.0004283
1s14B	0.000257
4hxwA	0.0002095
3u2dB	0.000199
5d6pB	0.0001797
4mbcA	0.0001622
5bodA	0.0001622
1ea6B	0.0001542
4uroD	0.0001392
4emvA	0.0001392
7rciB	0.0001257
7rcbB	0.0001257
4hy1B	0.0001135
1ea6A	0.0001135
4urnC	0.0001078
3fv5B	0.0001078
6kzvA	0.0001078
6mfqB	0.0001024
7rckB	0.0001024
7rckA	9.734e-05
4lp0A	9.734e-05
4mb9A	9.734e-05
6tckB	8.788e-05
4ktnA	8.788e-05
1h7uB	8.35e-05
6kzxA	7.164e-05
A0A428RRZ6	0.00129
A0A167RQ28	0.0002515
A0A369H8E0	5.161e-05
F4Y590	2.795e-05
A0A2P6VPC9	1.857e-05
A0A7G2FMX3	3.621e-06
F5ANK0	1.238e-06
A0A667X9R5	1.177e-06
A0A2P6TNV3	1.118e-06
A0A7S2K077	1.118e-06
A0A7G2FJM8	8.229e-07
A0A3F3Q0E2	5.755e-07
A0A6Q2YLQ1	5.468e-07
A0A4W5N5B8	4.937e-07
A0A176VW23	4.457e-07
A0A1B0CIG2	4.235e-07
A0A3M0KH24	2.814e-07
F1DSD2	2.674e-07
A0A0V0YLR9	1.968e-07
A0A446T639	1.968e-07
Q8I8Z5	1.87e-07
L7P4R0	1.524e-07
Q8I8Z3	9.625e-08
Q002I2	9.625e-08
L7P3H8	9.146e-08
B1P876	9.146e-08
A0A4D6CB45	7.846e-08
A0A7I9GME9	7.455e-08
Q8I8Y6	7.084e-08
G0U809	6.077e-08
A0A140GIE4	5.775e-08
A0A7S3I2Q6	4.707e-08
A0CMG0	4.707e-08
C0NBV8	4.473e-08
A0A2K5JM63	4.038e-08
A0A640KWM1	3.464e-08
A0A2S2PWY9	2.972e-08
A0A813KTA6	2.824e-08
A0A6I9QJV3	2.683e-08
D8SDE0	2.683e-08
Q075M9	1.975e-08
Q7YZI8	1.694e-08
A0A7T1NUB8	1.53e-08
A0A6J0DWL9	8.72e-09
A0A2G9UK54	7.108e-09
A0A446T667	5.794e-09
A0A2P2M1A1	5.794e-09
A0A811RZB1	5.794e-09
A0A196S8J8	4.723e-09
A0A3P6T7C1	4.488e-09
