PDB_ID	bits
4kk2B	8.652
7quzDDD	8.174
2a8iA	8.174
1nkvA	7.295
3iz3C	6.151
6od1A	3.904
1te5B	3.904
6vinA	1.664
6lbpA	0.4764
1mbzA	0.4017
6ugkA	0.3585
4zfjB	0.2549
1mc1A	0.2275
1mbzB	0.1618
1jgtA	0.1528
6z4eA	0.1444
6rreA	0.1289
6rreE	0.1087
1gph1	0.09698
4zflA	0.09698
4zfkA	0.07726
6rreF	0.06154
6rreB	0.05814
6rreC	0.05189
6rreD	0.03293
4iipA	0.02623
1ao0C	0.02478
3f7aA	0.01056
3f79D	0.004503
3f79C	0.004019
3f7aB	0.003202
6k4eA	0.002276
3rnrA	0.0009167
3ke6B	0.0009167
3f79B	0.0005817
3rnrB	0.0004378
6k4eB	0.0002941
3ke6A	0.0002778
3f79F	0.0002625
3zt9A	2.152e-05
3pu9B	2.942e-06
3w43A	2.092e-06
5ucgB	1.764e-06
5ucgC	1.185e-06
5ucgE	5.658e-07
5ucgD	3.028e-07
5ucgA	2.153e-07
5mqhA	1.62e-07
3d8kB	3.802e-09
3d8kD	2.554e-09
