PDB_ID	bits
6v80E	9.705
6djpF	9.705
8op0A	9.705
5mj2A	9.705
7uz5L	9.705
7q9iL	9.705
7kc1K	9.705
5j0bC	9.705
5wcaL	9.705
8c8tS	9.705
5d7kD	9.705
3e3qI	9.705
7x6aH	9.168
5o03C	9.168
8dntH	9.168
7yvpH	9.168
5cbeC	9.168
2gqhA	9.168
1x44A	9.168
2mq0A	9.168
6x6jEX	9.168
7r40H	8.662
4wwkA	8.662
7vn9B	8.662
6udkB	8.662
1a6vH	8.662
5d8jH	8.662
8disH	8.662
8iv5L	8.662
6h6yH	8.183
8gjnB	8.183
4i9xA	8.183
7yshE	8.183
2edqA	8.183
2yd1A	8.183
2e7bA	7.731
6dfqA	7.731
5ir3A	7.731
3jbaH	7.731
1waaB	7.731
5vz1A	7.304
2edlA	7.304
1smoB	7.304
2edfA	7.304
6xrtL	7.304
7zfcB	7.304
6y62A	7.304
8dfwG	7.304
2mwcA	7.304
7rt9C	7.304
