PDB_ID	bits
5hciB	6.984
5hciF	5.722
1m8pA	2.009
3zx8C	0.1295
6mrlD	0.03372
2vq0C	0.01678
1vb2A	0.01597
6mrlA	0.01184
1x33C	0.01072
4y5z1	0.009228
3jbmA	0.008779
3jbmC	0.006193
1hpgA	0.002069
4wizCA	0.001968
5mm2C	0.001029
6rj0C	0.0007263
6mrmA	0.000691
6mrmC	0.0006254
7be9A	0.0005385
6shlB	0.0005124
2ea3A	0.0005124
1ct4E	0.0005124
5apmB	0.0004874
4wizAA	0.0003439
2pfeA	0.0002426
6rj0B	0.0002426
4rftb	0.0002196
5lwgA	0.0002196
6iicA	0.0001891
7chkA	0.0001474
7bc3A	0.0001334
4nwwB	0.0001269
5mqcA	8.952e-05
7chkC	8.517e-05
4udf1B	4.239e-05
5cddA	4.239e-05
7be9B	2.99e-05
5yl1A	2.845e-05
1opoC	2.575e-05
3j1pC	2.45e-05
5mqcB	2.217e-05
5lk7A	2.109e-05
5apmC	1.644e-05
5ewnB	1.488e-05
7bjpC	9.502e-06
5lk8B	9.04e-06
5gkaA	7.406e-06
5lwgC	7.406e-06
4pb6A	6.703e-06
8b3jB	5.492e-06
A0A0V0T2H0	9.619
A0A0V1KKV2	9.619
A0A0V0T0T7	9.619
A0A0V0T1W6	9.619
A0A2D4GRF3	9.619
A0A5Y1P7C4	9.152
A0A0V1KJ84	9.152
A0A2L2Y1D4	9.152
A0A2L2Y8C6	9.152
A0A5Y1PDD8	8.707
A0A2L2XXN2	8.707
D3TM19	8.707
W8AMF5	8.707
A0A034V3A6	8.707
A0A0C9QZ43	8.707
A0A1L8DIM4	8.283
A0A5B2VGZ6	7.881
A0A2L2Y4D0	7.881
A0A0A1XGZ9	7.497
A0A2P2I511	7.133
A0A0H3VIP4	6.786
J9PCP3	6.786
A0A0K8UHE7	6.786
W8AUQ5	6.786
A0A1Y1MVZ1	6.786
A0A0A9XDX8	6.786
F1KZ33	6.786
A0A7S1KUZ3	6.456
T1DLW6	5.844
W8AYL8	5.844
A0A2D4GCA0	5.032
A0A3G5ANT1	4.787
A0A0V1GMQ2	4.787
F1KSN9	4.787
A0A034V1U7	4.787
W8BLG6	4.787
A0A224XJU2	4.787
A0A2D4GRJ6	4.787
A0A1Y1LEV4	4.555
A0A0V1KJU5	4.555
A0A1B6EWC2	4.555
A0A0C9QEN2	4.555
A0A1B6GGQ5	4.555
A0A1B6EL25	4.333
A0A1B6MMU6	4.333
R4WCI9	4.122
A0A2L2YHN0	4.122
A0A1Y1KB04	4.122
A0A2L2Y553	3.922
A0A1Y1L6P5	3.922
