PDB_ID	bits
4dq4A	9.569
6o7yA	9.569
7bogQ	9.569
3dtzB	9.569
6spcq	9.569
4azaA	9.125
3bf4B	8.702
3dtzA	8.702
7nhnr	8.702
4rx6B	8.298
6nukB	8.298
7d8bC	8.298
1mu2A	7.913
4wx8C	7.913
2jpiA	7.546
4wzsD	7.196
7enaDP	7.196
6ylrB	6.862
6wi5B	6.544
4r25A	6.24
2qieH	5.951
1eetA	5.675
2q5wE	5.412
5uv5C	4.921
7d6nD	4.07
1yz6A	3.881
5ovnA	3.529
5uv5A	3.529
1ikxA	3.06
6kdoA	2.093
6ujzA	1.996
5hbmB	1.815
4zhrA	1.574
6kdjC	1.501
7dbmA	0.9788
7sr6F	0.8901
6ik9A	0.48
8dwmA	0.2354
5ccv_D	0.2245
5dmqA	0.1856
4mh8A	0.09547
1nndA	0.09547
7v99A	0.09104
4hkqA	0.08682
4xpcA	0.08682
1i6jA	0.07529
6b1sB	0.07179
3fsiA	0.06529
4xpeA	0.06226
6b1sA	0.0491
