PDB_ID	bits
1oboB	9.795
6nevB	9.795
3r1kA	9.795
5trmG	9.795
6rftB	9.795
1g95A	9.795
3ioyA	9.217
7kpuD	9.217
2vxoA	9.217
7d62A	9.217
1lehA	9.217
4eipA	9.217
4ewgB	8.674
3esyA	8.674
4gx5B	8.674
2zpaA	8.674
6acfA	8.674
3efaA	8.163
1bf3A	8.163
1pbbA	8.163
6iqdA	8.163
8egnA	8.163
5trmC	8.163
6qh8B	8.163
7zcaA	8.163
8d9dC	8.163
5dbjD	8.163
5dbjB	7.682
6ljhA	7.682
4jlwD	7.229
5jphB	7.229
1p0fB	7.229
6oa7B	7.229
4gcmA	7.229
5mzkA	7.229
5x6qA	7.229
8eekB	6.803
1pjqB	6.803
3oetH	6.803
1dnkA	6.402
7d62B	6.402
1grtA	6.402
8g2lB	6.402
1z6lA	6.402
5eowA	6.402
1kolA	6.402
7u9nA	6.402
4oh1A	6.025
8h2aC	6.025
6hg8A	6.025
L8N028	0.001678
A0A7Y3WS16	0.0007617
A0A2V2BRI3	0.0003458
N9NU94	0.000109
A0A496LPN3	0.0001026
A0A2T0BLA3	4.95e-05
A0A7H0YGH6	4.125e-05
A0A349PZ88	2.115e-05
A0A514ZRD5	1.873e-05
M3AGN4	1.561e-05
A0A116LTQ8	1.561e-05
A0A4P5WEA6	1.02e-05
J6HJV8	9.034e-06
A0A101WP46	8.502e-06
A0A2G6Y4C4	8.001e-06
A0A0H3IYT2	8.001e-06
A0A2U1SB91	7.085e-06
H2JGE2	6.668e-06
N4TQ51	5.229e-06
A0A2S8VYI7	4.631e-06
A0A0M0GD80	4.358e-06
A0A3D8P4S2	3.632e-06
A0A271IUD5	2.849e-06
A0A1B1ZDT6	2.234e-06
A0A5T2R5F6	2.102e-06
A0A7X3A3A8	1.752e-06
A0A7X4GKD2	1.014e-06
Q88FU3	4.604e-07
A0A2T5K737	3.198e-07
A0A239YMQ7	2.221e-07
A0A7Y5LSI0	2.09e-07
A0A5E4J317	1.742e-07
A0A5C7JQ52	1.452e-07
A0A140KBJ0	1.452e-07
A0A842U9L1	9.489e-08
A0A4Y8SPM8	7.908e-08
A0A662W2F0	7.442e-08
A0A2J8B5A5	7.442e-08
A0A7K0LRW5	4.864e-08
A0A7T9D1F0	4.578e-08
A0A7X7M2V0	3.815e-08
A0A0G1YFH4	3.59e-08
A0A2Z4UDW3	3.59e-08
A0A6C0DYG3	3.59e-08
E6UEZ4	3.179e-08
A0A842PBK6	3.179e-08
A0A2E6CD92	2.816e-08
A0A2G2MHA6	1.956e-08
A0A2Z4JYB4	1.732e-08
A0A374RJ75	1.732e-08
