PDB_ID	bits
6hszC	9.083
5fueD	9.083
7p2vA	8.643
6gx3B	8.224
6xylC	7.826
6y21D	7.826
6hrqC	7.447
6hu3C	7.447
6vjuB	7.447
6hu3A	7.447
6hsgC	7.447
4bz9A	7.447
6gxwB	7.087
7p2tA	6.744
6zs7C	6.744
6hthB	6.744
6zs7B	6.744
6gx3D	6.744
6gx3A	6.744
6ht8C	6.106
6tldA	6.106
1smkC	6.106
6hthC	6.106
6hu3D	5.811
6xwlE	5.811
4bz5D	5.529
6hrqB	5.529
6fu1A	5.529
5b04C	5.529
8iavB	5.262
6gxuA	5.262
8g4xE	5.262
6xwlC	5.007
6hsfB	5.007
1npyA	5.007
4pcvB	4.765
8esrq	4.765
6fu1C	4.534
6zs7E	4.314
4bz5A	4.106
4bz5C	4.106
4ofxA	3.203
8by2A	2.901
5zmpA	2.76
5g1oC	2.499
4p4lA	2.378
7zd7A	2.378
4xrpC	2.263
5g1oE	2.263
5g1pB	2.263
