PDB_ID	bits
5gmqA	5.647e-06
4qzvD	3.508e-06
4l72B	2.839e-06
5gyqA	1.254e-07
5kwbA	6.866e-11
7ly0A	1.11e-12
7bh9E	3.4260000000000005e-20
3sciF	4.1310000000000004e-21
3sckE	3.5250000000000004e-21
3sclF	2.567e-21
3d0hE	3.824e-22
3d0iE	2.137e-22
8gsbA	8.698e-23
8t23B	3.935e-23
8fxbE	3.185e-23
3bgfA	2.577e-23
7sixB	1.519e-23
2ghvE	9.948999999999999e-24
7ru8C	3.748e-25
8j5jA	1.608e-25
7l5bA	1.1710000000000001e-25
7jn5F	9.99e-26
7sixA	8.085000000000001e-26
7f12A	5.0230000000000004e-26
7f7hF	4.2860000000000004e-26
7te1D	3.658e-26
7p8jD	2.663e-26
8q94A	1.1430000000000002e-26
7np1B	5.449e-27
8pq2C	5.169e-27
7jmpA	3.9679999999999996e-27
7rxdR	3.386e-27
8sphF	3.046e-27
2dd8S	2.3379999999999998e-27
8fxcE	2.1029999999999998e-27
7olzA	1.702e-27
7np1A	1.615e-27
8i5iR	1.307e-27
8iv8G	1.176e-27
7rpvF	1.115e-27
8t25B	9.515e-28
8q95A	7.7010000000000005e-28
8bsfA	7.7010000000000005e-28
7lm9A	7.304e-28
7fjcE	6.928e-28
7k9kA	5.607e-28
8dwaA	4.784e-28
8spiE	4.5380000000000005e-28
7p19E	4.083e-28
8j1tF	3.673e-28
A0A4S4FGV5	9.688
A0A1T4WHA7	9.688
A0A844BYY6	9.688
A0A7C5U9X3	9.688
A0A372MJ75	9.688
A0A2D6HE97	9.688
A0A3C1ES02	9.189
A0A8B6CAM3	9.189
A0A1W1VGM1	9.189
A0A2D9WYS7	9.189
A0A1A7VI88	9.189
A0A1E4HLC1	9.189
A0A7M2RG17	8.716
A0A6G1N8Y2	8.716
A0A137PI43	8.716
A0A517T5M5	8.716
A0A7X8A0Y3	8.716
I6YTE2	8.267
A0A1F1HE21	8.267
A0A7Y9ZXA6	8.267
M0J1E5	8.267
A0A840UL10	7.841
A0A1V0HVA4	7.841
A0A3E0NDV7	7.841
A0A2D5VHK9	7.437
A0A402AT76	7.437
X1JY04	7.437
A0A350G524	7.054
A0A2P9DJB6	7.054
A0A6I3RH67	7.054
T1F1D9	7.054
A0A354PEE1	6.69
A0A1W9U1M0	6.69
A0A6G7ETP7	6.69
A0A4Q3XQE7	6.69
A0A519GUF1	6.346
A0A1A8WA72	6.346
A0A5M4ADG6	6.346
A0A1F4HQN9	6.346
A0A3C1EPD8	6.346
A0A7C5A7C3	6.346
A0A6H1P446	6.346
A0A7C1DF77	6.019
A0A517YHV8	5.709
A0A523SFJ1	5.709
A0A163XKF5	5.415
J6HZH6	5.415
A0A1T5IAL3	5.415
A0A6P1M1U3	5.415
A0A183QMF7	5.415
