PDB_ID	bits
4cqnA	9.013
4arcA	7.399
7bl3b	6.486
3zjvA	6.486
3c7cB	6.486
7d6z6	5.687
7unw3	4.985
6ha16	4.668
4ltuB	4.668
4v97D4	4.371
6wntA	4.371
5on3D	4.092
6ysiW	3.832
3zjuA	3.832
6ywxV	3.588
5on3A	3.588
3j6bV	3.588
7odtm	3.359
7l08m	3.145
6gawB4	2.757
1r7sC	2.757
6nu3m	2.757
5mrfV	2.757
7pzyZ	2.757
7ug7Le	2.757
1xxgA	2.582
6ydpB4	2.582
3lxfA	2.264
7y7g4	2.119
2wlbB	2.119
7xt1A	1.74
7sfrV	1.629
1xlqA	1.428
5bz6A	1.337
1xctL	1.337
6baeE	1.252
8e73FD	1.252
8oinBd	1.172
3bytH	1.172
6o8xW	1.172
5wakB	1.172
7mq9LF	1.172
1k53B	1.098
1uwmA	1.098
7w39x	1.098
5ah5B	1.098
7m8iA	1.028
1k52B	1.028
8oiqBd	0.9623
8cx9D	0.901
A0A493T9S6	0.01343
A0A672TFI3	0.002768
M3XMN1	0.002592
G7PL76	0.002273
C1C2M5	0.002273
M3WSW6	0.001434
A0A1S3HRN8	0.0007931
A0A7N5K9G2	0.0007426
A0A0V0G8R0	0.0007426
A0A183IED2	0.0006953
A0A5N6M3Y3	0.0006953
A0A834KVF3	0.000651
A0A0W4ZF35	0.000651
A0A673WPQ4	0.0006095
A0A7I4XZ68	0.0006095
A0A672T4K7	0.0006095
A0A3Q3KS75	0.0005707
A0A0V1AXJ8	0.0005707
A0A673MVA7	0.0004685
A0A6J3ASF0	0.0004685
A0A2K6A2N5	0.0004685
F6WCW3	0.0004685
A0A7K5BGT1	0.0004387
A0A3Q2ZNS0	0.0004387
A0A2K6FLE1	0.0004387
A0A671K3H6	0.0004107
A0A5F8H272	0.0003846
A0A485PKQ5	0.0003846
A0A7N4PNN8	0.0003601
A0A2U4AB94	0.0003601
A0A5N6MWP5	0.0003601
A0A0V0GTA5	0.0003372
A0A671KD31	0.0003372
A0A5N6MZA2	0.0003157
A0A7S0SYV7	0.0003157
A0A068RIH5	0.0003157
A0A6V7QSI9	0.0003157
A0A5J5DNX4	0.0003157
V7PDT2	0.0002956
A0A091D7J0	0.0002956
A0A6A5BY72	0.0002956
A0A0C9ZHA8	0.0002768
A0A674EA20	0.0002768
A0A7S3MBV2	0.0002768
A0A5F8H9V4	0.0002768
A0A5D2ZL08	0.0002591
A0A7S3RMS7	0.0002591
A0A0F8B383	0.0002426
A0A7S0PZ48	0.0002426
A0A5B0MG57	0.0002426
