PDB_ID	bits
6yxuC	9.906
4i1kB	9.906
6dcfC	9.906
5n69A	9.906
3op1A	9.344
5tukC	9.344
7oibD	9.344
1xa9A	9.344
2v3mF	9.344
8eniA	9.344
6apwA	9.344
4dq2A	9.344
7wi3r	8.813
6gmaD	8.813
6zqcUH	8.813
6n04A	8.813
4iv9B	8.813
6gmaA	8.813
1ndaA	8.813
5tukD	8.813
6f6wC	8.313
1z47B	8.313
5vy1B	8.313
8cjeB	8.313
5myjAL	8.313
6konC	8.313
7khoD	8.313
5fhfA	8.313
5m9nA	8.313
5z78C	8.313
2dfkC	8.313
5tuiA	8.313
4mheB	7.841
4rg2B	7.841
6aqqA	7.841
2hbpA	7.841
5umwB	7.841
2rf0B	7.841
6l3gA	7.841
2va8B	7.841
7tn8A	7.395
5qu2B	7.395
8qyrB	7.395
4a9wB	7.395
1t6eX	7.395
4hb9A	7.395
6xywAb	7.395
4gdpA	6.975
4c5oD	6.975
6kybD	6.975
