PDB_ID	bits
6tm5B	0.04629
6q6gC	0.04077
2kreA	0.03826
2ysjA	0.03163
3pa6B	0.02969
4ui9B	0.02615
7dcoM	0.02304
4xi1A	0.02162
5g05B	0.02162
3l46A	0.02029
2yslA	0.01787
4wz2C	0.01678
2c2lD	0.01678
4qplC	0.01222
5khrB	0.01076
3knvA	0.01076
3l1zB	0.0101
7p47A	0.0101
8fkySM	0.0101
2eciA	0.0101
5l9uB	0.008896
2f42A	0.00835
8qhcD	0.006903
2c2vS	0.005707
2oxqD	0.005027
3l46B	0.004428
8a38C	0.003436
3jveA	0.003436
5gm6a	0.003224
2ct2A	0.003224
7xedD	0.003224
5jg6A	0.003026
8fkxSM	0.00284
3fl2A	0.002666
3l11A	0.002502
1z6uA	0.002502
1z6uB	0.002502
5jg6D	0.002502
2couA	0.002204
4gb0A	0.002204
7xedC	0.002068
2d8mA	0.001941
3pd7B	0.001506
3ztgB	0.001327
8a38B	0.001245
4b7yC	0.0009662
4b86L	0.0008511
3hcuA	0.0008511
5vnzD	0.0006198
7zj3A	0.0006198
