PDB_ID	bits
6y0fB	8.344
1a15A	7.822
4zt4A	7.332
2dk7A	2.78
2n4vA	0.8679
2mdjA	0.6701
2mw9A	0.485
2n4sA	0.4262
2n4uA	0.3745
2n4rA	0.329
2n4wA	0.329
1e0lA	0.271
1ywjA	0.254
2n4tA	0.2381
2dwvB	0.2381
2lb0A	0.1961
2mdiA	0.1839
2m9fA	0.1616
1zr7A	0.1514
2dwvA	0.142
2ysiA	0.1331
2n8uA	0.1247
1wr3A	0.1169
2m9eA	0.1096
2lb2A	0.1096
2yshA	0.1027
2n8tA	0.09028
2jocA	0.09028
7o3bI	0.08463
2ltyA	0.07933
4e5rA	0.07933
1wr7A	0.06534
7nwjA	0.06534
7o0sB	0.06125
3le4A	0.05741
2lajA	0.05741
7lp5A	0.05741
2lb1A	0.05382
2kpzA	0.05382
2yseA	0.04729
2nc4A	0.04729
5vtkA	0.04729
1yiuA	0.04433
2ltzA	0.04433
2nc6A	0.04433
2kq0A	0.04155
7o06D	0.03895
5vtjA	0.03895
1eg4A	0.03423
2ltxA	0.02819
