PDB_ID	bits
5aiuA	0.6014
7dcoM	0.4934
1z6uA	0.4619
6u75B	0.4049
8a38B	0.3548
8t3yL	0.3548
5o76A	0.3322
7lybN	0.3322
3i2dA	0.311
8iegB	0.2911
7zj3A	0.2552
4fo9A	0.2552
5gm6a	0.2552
5d0mC	0.2389
8a38C	0.2389
2csyA	0.2389
3knvA	0.2389
4mvtA	0.2389
8gujL	0.2236
2ma6A	0.196
4mvtD	0.1835
8gujK	0.1718
4r7eA	0.1718
5eyaG	0.1608
8t3tL	0.1506
5ulhC	0.141
7t92C	0.141
7t9xB	0.132
3l11A	0.1235
4gb0A	0.1235
5d0iB	0.1157
4r8pN	0.1083
8qnhA	0.1083
4txaA	0.09489
4s3oE	0.08884
8iejA	0.08884
5mqfH	0.08884
1jm7A	0.08884
6ff7I	0.08317
7p47A	0.07289
6m2dD	0.06824
2yurA	0.06824
5vzvB	0.05981
8grmN	0.05599
2cklB	0.05242
5eyaF	0.05242
5jneE	0.04594
2eciA	0.04301
4r8pL	0.04301
5feyB	0.04301
G3IA85	0.01499
A0A7J8KJ70	0.01403
A0A485NF66	0.01403
G9KWB0	0.01314
A0A212CQJ3	0.0123
F1M8V2	0.01152
A0A7F8Q5M0	0.01152
A0A2D4HTA7	0.01078
A0A452SWX2	0.009449
A0A3N0YLA0	0.008846
A0A6P6M792	0.008281
A0A2K6FQJ1	0.007753
A0A452SX38	0.007258
A0A3P8TM89	0.007258
A0A402FI34	0.007258
A0A673MUK2	0.006795
A0A673I932	0.006795
A0A401SUW5	0.004886
A0A0S7ETM1	0.004283
A0A5N5LVX3	0.004283
A0A672ZJZ5	0.004283
A0A1B6KM91	0.004283
A0A668VDJ0	0.004009
A0A1B0D2V6	0.004009
A0A667X1N0	0.003753
A0A7R9PI10	0.003753
A0A0P7XC40	0.00329
A0A401NYQ5	0.00329
T2MIB0	0.002883
Q7Q3H0	0.002883
B3RZA9	0.002699
A0A182G4Z8	0.002699
A0A6J3BY24	0.002699
A0A1B6G0I5	0.002527
S4P8T3	0.002527
A0A6J1NPP7	0.002527
A0A1B6IG44	0.002366
A0A0P5FB11	0.002366
A0A1L8DSG4	0.002366
A0A6B2EIB8	0.002366
A0A6M2DTZ4	0.002366
A0A7I4Y1W7	0.002215
A0A0P5KCH8	0.002215
A0A2R7WBQ3	0.002215
A0A3L7I9X9	0.002073
W8BCU8	0.002073
A0A226EN05	0.002073
A0A182JGK6	0.002073
A0A1Q3F1Q0	0.001941
B0WSH6	0.001941
