PDB_ID	bits
7n6g1R	0.3533
1uhkB	0.2714
1s36A	0.2227
7eg2A	0.2227
6iihB	0.2085
3sx9A	0.2085
1c07A	0.1827
7sqcE3	0.171
7sqcE1	0.1601
8snb7I	0.1499
2scpB	0.1403
8a9sB	0.1314
1ij6A	0.1314
4mewA	0.123
6lb7B	0.1151
4c0jA	0.1151
2hq8A	0.1078
1jf2A	0.1009
1jbaA	0.09447
5ypxB	0.09447
8th8Q	0.09447
4nqgB	0.08844
3t3uA	0.08844
3cs1A	0.0828
1qxpA	0.07751
2g2bA	0.07257
8g3d7R	0.07257
8actC	0.06794
8g4lE	0.0636
7moqT	0.0636
6agiA	0.0636
1kfuL	0.0636
4n1gB	0.0636
4ndcB	0.05954
4by4B	0.05954
6kthA	0.05574
8actD	0.05574
6so3D	0.05218
8c6oB	0.05218
3n51A	0.05218
3kpxA	0.04885
3bowA	0.04885
1f4qA	0.04573
8g4la	0.04281
6agiB	0.04281
7rroI4	0.04281
8otzF	0.04281
6sl2A	0.04008
5x9aB	0.03752
5mraC	0.03752
A0A835ZBI7	0.002514
A0A024GNG8	0.0013
A0A7S0PF46	0.0013
A0A7S1HXD9	0.001217
A0A6T7G0K4	0.0009348
A0A176WPY9	0.0009348
A0A6V1V1P8	0.0008193
A0A7K4LY41	0.000718
A0A663MGZ7	0.0006722
A0A452HWA2	0.0006722
A0A7J7JZ15	0.0005891
A0A0B7A0B4	0.0005515
A0A1D2A902	0.0004834
A0A6U2LA76	0.0004525
A0A6J7ZXD9	0.0004525
A0A7S4W2F7	0.0004236
A0A4D9EZS9	0.0003966
A0A060WJJ7	0.0003966
A0A7S3D058	0.0003713
A0A813BLA5	0.0003476
A0A6I8NLS6	0.0003476
C5KMN7	0.0003476
A0A3M0KK87	0.0003254
A0A813I3P1	0.0003046
A0A3Q2YL19	0.0003046
G1NDN1	0.0002852
A0A087SDL8	0.0002499
Q9U5J0	0.0002499
A0A813LIF2	0.000234
A0A4W5JBX1	0.000234
U3K0K1	0.000234
A0A813I7H4	0.000234
A0A7S4T7G9	0.0002191
A0A3Q3LB07	0.0002191
A0A226MUK5	0.0002191
A0A834W4Y2	0.0002191
A0A833ZG28	0.0002191
A0A3P8UX99	0.000192
A0A7S1TRX6	0.000192
A0A7S4T737	0.000192
A0A5F8GW61	0.0001797
A0A3P9NLD3	0.0001797
A0A835TW14	0.0001797
A0A7S3K4A4	0.0001683
A0A822E232	0.0001683
A0A6P6RU98	0.0001575
A0A7S1ZA21	0.0001575
A0A7N5JJZ8	0.0001475
A0A444V3U0	0.0001475
A0A814E643	0.0001475
