PDB_ID	bits
1b26F	9.462
6jqlA	9.462
7c5vA	9.462
5i7nA	9.462
4uzeA	9.462
3q64A	8.944
5lp5A	8.944
3pu2C	8.944
8ew0E	8.944
2xepB	8.944
5xw6B	8.944
3ugfB	8.944
1pn2C	8.454
7cjgB	8.454
7rpgA	8.454
3g7gE	8.454
5n9bA	8.454
1mm8A	7.991
2xh9A	7.991
7onwA	7.991
4qi6A	7.991
4fbeA	7.991
5odnF	7.991
7y1tA	7.553
2ownB	7.553
6uhlB	7.553
3rd6A	7.553
1uzxA	7.14
5kshB	7.14
6xqzA	7.14
1b7eA	6.749
6yfiC	6.749
3aogC	6.749
2xf3A	6.379
6tudAAA	6.379
3nm7A	6.379
4ztkA	6.379
3lbeB	6.379
2hzqA	6.379
5t06C	6.03
2ye0A	5.699
8j2hB	5.699
4qfwC	5.699
3ggnA	5.699
5dacB	5.699
7aubA	5.387
3edpA	5.387
6flkB	5.387
3r42A	5.387
4mdzA	5.387
A0A126X3U6	0.01768
Q765V9	0.006414
Q881J7	0.006063
A0A160PMN2	0.004324
A0A1S8C7T1	0.003652
A0A126X1X1	0.003652
A0A126X119	0.003452
M0DYT3	0.003263
A0A1G9UAG6	0.002915
A0A4Q3YWY0	0.002756
A0A126X1X0	0.002756
A0A126WZV4	0.001858
A0A6J7IRV5	0.001858
A0A126X1G7	0.001569
A0A126X1X7	0.001569
A0A2T0R001	0.001483
M0E6B1	0.001483
A0A545U9V0	0.001402
A0A7S1BVS1	0.001402
I1J5K5	0.001325
A9TTW7	0.001252
Q1N482	0.0009997
A0A1Y2WPK3	0.000945
A0A418NTY7	0.0008932
A0A7S1BUN3	0.0008932
A0A2D9YQV4	0.0008932
A3IMW4	0.0008932
A0A169QVX5	0.0007981
A0A4S8U145	0.0007981
A0A5C6FKB1	0.000713
I1JBR2	0.000674
A0A4Q3YSZ2	0.000674
A0A4U0XYV7	0.0006022
A0A5C6FT88	0.0006022
A0A318C195	0.0005692
A0A2W4S9N3	0.000538
A0A126WZS7	0.000538
G4NFS7	0.0005086
A0A7M1L895	0.0005086
A0A182N9M7	0.0005086
A0A841ESN7	0.0005086
A0A4Q3VMT4	0.0004807
A0A315W937	0.0004807
A0A074TI79	0.0004807
A0A0A3I9Y6	0.0004544
A6D6L9	0.0004295
A0A3D1WNL0	0.0004295
A0A668US33	0.0004295
A0A671UZ38	0.000406
A0A354B6V9	0.000406
