PDB_ID	bits
7f2nD	4.687
5eszG	0.003132
5esvG	0.002037
6p8nC	1.098e-06
5kzcC	9.859e-07
5kzcF	9.343e-07
4jpkA	6.077e-07
4jpjA	4.645e-07
5kzcA	3.746e-07
5iesC	3.55e-07
5if0G	2.188e-07
3tygA	7.88e-08
6eduC	3.518e-08
6dfgB	2.548e-08
5fcuG	1.571e-08
6vrwB	1.411e-08
7ly9F	1.337e-08
7z3aE	1.201e-08
6nqdB	9.683e-09
8g6uB	7.401e-09
7llkJ	7.401e-09
7ly9J	7.014e-09
8czzB	5.657e-09
8czzF	5.08e-09
6mcoB	4.814e-09
6vpxF	3.304e-09
8sb0L	2.968e-09
6vziB	2.812e-09
7z3aB	2.665e-09
7mxeF	2.665e-09
8dokF	2.393e-09
6vttA	2.037e-09
6vttB	1.93e-09
6vttC	1.734e-09
8sayL	1.643e-09
6okpA	1.643e-09
6u0nZ	1.557e-09
7txdD	1.325e-09
7l8dE	1.325e-09
6u59B	1.256e-09
7lokD	1.19e-09
7tfoX	1.013e-09
6vo3B	9.597e-10
8czzJ	9.597e-10
6u0lZ	9.095e-10
6opnB	8.168e-10
4yblA	7.74e-10
7lxnF	7.74e-10
8gpiT	7.74e-10
8dokJ	7.74e-10
A0A2A4ITI8	9.904
A0A3R6DIX5	9.904
A0A6M4P847	9.386
A0A812KUA9	9.386
A0A090M514	8.895
A0A016VVJ8	8.429
A0A177W447	8.429
A0A1G9B8G2	7.988
A0A3P5XGV7	7.988
A0A1B2R339	6.105
A0A4Y2NDU7	5.196
