PDB_ID	bits
1t9wA	9.398
7kj9A	9.398
6sguA	8.993
4lzcA	8.993
1j98A	8.606
7y8vE	8.606
7v4yB	8.606
6vejC	8.236
7y8xE	8.236
3t56A	8.236
5wobE	7.881
2ktyA	7.881
2jboA	7.542
3fmbB	7.217
1t9uA	7.217
5s7kB	6.906
5wobB	6.609
5cheB	6.609
4wuaA	6.609
7kf7B	6.325
2cjaB	6.052
5cioA	5.792
7a46A	5.792
7oumA	5.304
2bujA	5.075
5wobF	4.857
7o3lB	4.648
6b05A	4.448
7oulA	4.256
5yjlA	4.073
8bqsB	4.073
2xo6D	3.898
5cheA	3.898
6t0bA	3.73
2xmaB	3.569
6z12A	3.416
1tt4B	3.269
7a67B	3.128
7rr8A	3.128
1iwgA	2.993
1t9tA	2.993
4kgkD	2.993
3k07A	2.993
5abyA	2.993
2v50A	2.51
6z12B	2.299
1j5uA	2.2
6z12C	2.2
2rddA	2.105
4kgmB	2.105
