PDB_ID	bits
6o8zU	9.622
4c4pA	9.042
4uj4J	8.497
8esrX	8.497
1c77A	8.497
1c76A	8.497
4zozB	7.052
7z3oSO	6.627
7ezdB	6.627
1c4pB	6.627
5d0qF	6.227
6pkxC	6.227
7z8fj	5.852
7ezbA	5.499
4fixA	5.168
6ppfT	4.856
6fu8C	4.563
7r72X	4.288
7ezeA	4.03
7ezdA	3.787
4dx8H	1.092
6d73D	0.4575
6purA	0.3796
6puoA	0.2457
6pkxD	0.124
7pktG	0.124
6drjA	0.0588
7t7hA	0.0488
7q94B	0.04309
6drkA	0.04309
2qkmH	0.03805
6puuA	0.02968
7pd3e	0.02314
5aj4Bj	0.02175
1q27A	0.02175
6zsee	0.02175
5w6xB	0.01594
8a22AH	0.01498
8dpaB	0.01323
7t7hB	0.01243
6mj2B	0.01168
4zg0B	0.01168
5x1xA	0.01168
7q94A	0.01098
6hixAj	0.01031
7of2e	0.008559
7dnuA	0.007103
7nsjBj	0.007103
5louA	0.006273
5z78B	0.004892
A0A493SYM0	0.007845
A0A6P7KMX6	0.003721
A0A674EI68	0.002562
A0A3Q2WWP2	0.002408
A0A671KMV3	0.001142
A0A3P9BE63	0.0008369
A0A2D0S619	0.0007864
A0A455BW12	0.0007864
A0A6J1ZSV9	0.0006526
A0A6M2D062	0.0006133
A0A7N4PYP3	0.0006133
A0A7Z9XEX3	0.0005763
A0A674EIT3	0.0005416
A0A7S4IJ24	0.0003294
A0A1Z5K9Q0	0.0003294
A0A2P6TFJ4	0.0001882
B6HR14	0.0001769
A0A2P6VPN0	0.0001296
A0A1S9DLM8	0.0001296
A0A098G3E9	0.0001218
A0A0G4GCQ3	0.0001076
A0A6A4QPQ1	0.0001076
A0A6M2D1S5	9.5e-05
A0A0D3AP18	8.927e-05
A0A485P4D0	8.389e-05
A0A6H5JXJ8	7.408e-05
A0A6A5BX25	7.408e-05
A0A5Q4BNN9	7.408e-05
A0A2E6BDD3	7.408e-05
A0A7J9CTU4	7.408e-05
A0A4P9XFN6	7.408e-05
A0A848U5A5	6.542e-05
A0A5N6ZD98	6.148e-05
A0A068RIC9	6.148e-05
A0A0D2AWK0	5.777e-05
B2A996	5.429e-05
A0A7C0UED0	5.102e-05
A0A369H4B9	5.102e-05
A0A3M7MRM3	5.102e-05
F8L0H1	4.794e-05
A0A2D9DRY1	4.505e-05
A0A326U4V2	4.234e-05
A0A2N2DZK3	4.234e-05
A0A135U7J4	4.234e-05
A0A7X5FQJ8	4.234e-05
A0A0D1Z7H7	3.979e-05
A9G157	3.979e-05
A0A432HVK6	3.739e-05
A0A0Q5EPF5	3.739e-05
A0A1M9S1Y6	3.513e-05
