PDB_ID	bits
5fcjC0	9.965
6fyyK	8.919
5fphF	8.437
5fphE	6.393
2x9qA	5.722
7am2BK	5.121
7agzA	4.583
4tn1A	2.107
2i4sB	1.784
2evrA	1.352
4c2gA	1.145
7b70D	1.083
3vaaC	0.8205
4c2hB	0.6947
2rczA	0.6572
1v1cA	0.6572
6iqrB	0.5882
5wqlC	0.498
3cyyA	0.4457
3h0kB	0.3989
2jweB	0.3773
4c2eB	0.3773
5wqlD	0.3195
2osgB	0.2421
4c2dB	0.2421
3e17B	0.229
6iqrA	0.2167
6cpkA	0.205
2j3tD	0.1553
2yunA	0.1469
6vbbA	0.139
4zo4C	0.1053
3qwyB	0.09963
6jp5B	0.09963
6c4sB	0.06756
1ue9A	0.0572
1zx6A	0.0572
7a33B	0.05412
2kr3A	0.05412
4rtvA	0.05412
4hvwA	0.05119
2lj0A	0.05119
3suzA	0.04582
1udlA	0.041
5veiA	0.03879
8bq3A	0.02939
2moxA	0.02781
2dbkA	0.02781
4lnpA	0.02781
6b25A	0.02631
