PDB_ID	bits
6ie5A	9.507
5zwzA	8.961
6ie7B	7.503
1qviA	6.665
6z47B	5.921
4qw2A	5.581
4rg2B	5.581
5t45A	5.581
5z78C	5.581
5m05A	5.26
6p5jAM	5.26
6my0B	4.673
7pksZ	4.673
4rxjA	4.673
2eqkA	4.673
5m9nA	4.404
7ytaA	4.404
3zehA	4.404
8ovaBP	4.404
6l7pO	4.404
3nthA	4.404
5nrsA	4.151
5t3aA	4.151
3ntkB	3.912
1g5vA	3.688
5ejkG	3.688
8a98K	3.688
8e14C	3.688
6tjvO	3.688
6ie7A	3.688
8p5dLE0	3.476
5i4eA	3.476
7ycxj	3.476
5xslA	3.476
1igqA	3.476
7w2pA	3.476
7w30B	3.276
3jcsK	3.276
7abi7	3.276
6kcoA	3.276
8p4dZ	3.276
6ie7C	3.276
4a4gA	3.276
6ie7D	3.088
6b57B	3.088
2ckkA	3.088
5j39A	3.088
1s5gA	3.088
6iipB	3.088
5t2aN	3.088
