PDB_ID	bits
7sirA	7.5
3edmA	4.514
8v8xA	4.033
3edmB	3.602
5a5fA	3.405
6xeqB	3.218
1uagA	3.042
2uagA	3.042
2jfgA	3.042
6iunA	3.042
6oz7H	2.717
2jffA	2.717
7bvbA	2.717
2vtdA	2.427
2uuoA	2.427
6oz7E	2.427
8v8wA	2.427
6toeE	2.427
1zcjA	2.294
3uagA	2.294
4g74A	2.168
1kjqA	2.168
2wtbA	2.049
4uagA	2.049
1gv1D	1.937
5u5gB	1.831
7y8kA	1.73
6bwtA	1.73
6bwtD	1.73
7o4uA	1.635
3itjC	1.461
1pgnA	1.461
6xeqD	1.461
6smtB	1.381
6toeF	1.381
8oh5C	1.305
2w8zA	1.233
5w4cA	1.233
2we8B	1.233
1pgjB	1.233
6tnmA	1.166
2whdA	1.166
3ntdA	1.166
1eehA	1.102
2y68A	1.102
1orrA	1.102
8c79B	1.102
2iz0B	0.9843
5ojlA	0.9843
1kjjA	0.9843
