PDB_ID	bits
5esvE	0.01146
5eszG	0.01029
6dfgB	7.237e-07
6eduC	4.932e-08
7l8dE	3.573e-08
8sb0L	2.882e-08
7ly9J	2.882e-08
5fcuG	2.731e-08
6p8nC	2.453e-08
6u0nZ	1.777e-08
7ly9F	1.596e-08
7lokD	1.596e-08
8salJ	1.513e-08
8salF	1.434e-08
7txdD	1.359e-08
8sayL	1.359e-08
6u0lZ	1.359e-08
7tfoX	1.288e-08
6vrwB	1.22e-08
8fyjD	1.156e-08
7txdF	1.156e-08
4jpkA	9.328e-09
7t9tB	8.84e-09
7llkJ	7.524e-09
7tfnY	7.524e-09
6xrtC	7.13e-09
5jsaD	6.758e-09
6vttB	6.758e-09
6udaJ	5.752e-09
8sb1B	5.451e-09
7z3aE	5.166e-09
6u0lY	4.64e-09
7tcnB	4.64e-09
6orpF	4.167e-09
8sasL	3.547e-09
7tfnZ	3.185e-09
6ozcB	3.185e-09
6okpA	3.019e-09
6cm3A	2.861e-09
6vttA	2.711e-09
4jpjA	2.569e-09
7lo6D	2.435e-09
5kzcC	2.308e-09
6xrtB	2.308e-09
7lo6B	2.187e-09
7tfnX	2.073e-09
8satJ	2.073e-09
6x97B	1.964e-09
7l8eD	1.964e-09
6vziB	1.964e-09
