PDB_ID	bits
6ie5A	9.507
5zwzA	8.961
6ie7B	7.503
1qviA	6.665
6z47B	5.921
4qw2A	5.581
4rg2B	5.581
5t45A	5.581
5z78C	5.581
5m05A	5.26
6p5jAM	5.26
6my0B	4.673
7pksZ	4.673
4rxjA	4.673
2eqkA	4.673
5m9nA	4.404
7ytaA	4.404
3zehA	4.404
8ovaBP	4.404
6l7pO	4.404
3nthA	4.404
5nrsA	4.151
5t3aA	4.151
3ntkB	3.912
1g5vA	3.688
5ejkG	3.688
8a98K	3.688
8e14C	3.688
6tjvO	3.688
6ie7A	3.688
8p5dLE0	3.476
5i4eA	3.476
7ycxj	3.476
5xslA	3.476
1igqA	3.476
7w2pA	3.476
7w30B	3.276
3jcsK	3.276
7abi7	3.276
6kcoA	3.276
8p4dZ	3.276
6ie7C	3.276
4a4gA	3.276
6ie7D	3.088
6b57B	3.088
2ckkA	3.088
5j39A	3.088
1s5gA	3.088
6iipB	3.088
5t2aN	3.088
A0A4S8ZDR5	0.1339
A0A1W5CSC0	0.1189
A0A3M6WKF3	0.1121
A0A3M7C1B2	0.1057
A0A0J8R497	0.09958
A0A4Y9YMU0	0.08846
A0A0K2TL25	0.08338
A0A813AHR3	0.04613
A0A7R8CX55	0.04348
A0A5E3WVH0	0.04098
A7TF13	0.03862
A0A0C3FX02	0.0364
A0A1E5RVN7	0.0364
A0A6J1SVP3	0.03234
A0A7S2R712	0.03048
A0A120K145	0.03048
W0TDM1	0.03048
A0A1I8BWU4	0.03048
H2AR82	0.03048
A0A5P2U8A7	0.03048
A0A1B7NB32	0.02873
A0A425BRN7	0.02873
K5WBZ9	0.02873
A0A0H5RD49	0.02708
A0A6V7X0Y9	0.02708
C6H2D4	0.02708
A0A0C3AYN9	0.02708
A0A1G4JT83	0.02552
A0A7S2WS55	0.02405
A0A0L0VJR7	0.02405
A0A182GZI4	0.02405
A0A1S3INR2	0.02405
A0A0C4F258	0.02267
A0A5B0RR40	0.02137
A0A1Y1VLX1	0.02137
A0A0N7ZAM0	0.02137
A0A0D2HFY6	0.02137
A0A6A5Y935	0.02137
G8BMV1	0.02137
A0A131XGD9	0.02014
A0A4U0VTV6	0.02014
A0A4W3GET0	0.02014
A0A1J9QVS2	0.02014
R7UJE2	0.02014
A0A1I7VTV4	0.02014
A0A0W0CDW2	0.02014
A0A0L8RN67	0.02014
A0A4S3JX89	0.02014
A0A1E1XQ30	0.02014
A0A5J5FB57	0.02014
