PDB_ID	bits
2d7eA	9.58
7b20C	9.58
1yseA	9.58
6xb3E	9.031
2nr4B	9.031
1jftA	9.031
7t56A	9.031
6swiA	8.513
4m75H	8.026
5nrl8	8.026
5mrc66	8.026
2cghB	8.026
6zviT	8.026
7uzkE	8.026
2rn7A	8.026
1vpwA	7.566
3fkhF	7.132
4xtwA	6.724
2l7zA	6.724
3gn5B	6.724
6xbyF	6.724
2d7gB	6.724
2f5fA	6.338
6lzpA	6.338
2pe5B	6.338
2mgqA	6.338
3tniB	6.338
2pueA	5.975
3r60B	5.975
1lccA	5.975
8camt	5.975
1jfsA	5.975
6wm2F	5.633
4go1B	5.633
1on2B	5.633
2f5cA	5.633
1kn9B	5.633
4xtyB	5.633
4xtzB	5.31
4xu2B	5.31
4go1A	5.31
3qiiA	5.31
1jh9A	5.31
7uzfF	5.006
7dqeE	5.006
2l1pA	5.006
6xbwF	5.006
6z49B	4.719
4ii1C	4.719
3g33B	4.719
A0A0T9UFW8	0.2338
A0A433ZTL4	0.1847
A0A348DGW2	0.1547
A0A6I2KB77	0.1458
A0A1V2BEP3	0.09096
A0A822NCC4	0.09096
A0A2N0WIA3	0.09096
A0A2D0LAV5	0.08575
A0A2E5TES5	0.08575
A0A2L0IH55	0.08083
F7SS39	0.0762
A0A0P9R4X0	0.0762
A0A7X4U150	0.07184
A0A2V5AJE9	0.06384
A0A0L8ISM2	0.06018
A0A377PMH4	0.06018
A0A6M3MCY9	0.05673
Q888E3	0.05673
A0A829MXQ1	0.05348
A0A1Z1SUS2	0.05348
A0A0E1NH02	0.05042
A0A1F0IC80	0.04753
A0A0U1KFY7	0.04753
A0A1G0FYH4	0.04753
A0A355VDZ5	0.04753
A0A7U9F8U7	0.04481
A0A1H5S1J3	0.04481
A0A2G0PZ38	0.04481
A0A368LHB6	0.04224
A0A3A6RAP3	0.04224
A0A366IZ09	0.04224
A0A6H0KFU3	0.04224
A0A5E7SJK4	0.04224
A0A3L8Q3Z0	0.03982
A3UVL9	0.03982
A0A8B3GIY5	0.03982
A0A1B9F4I8	0.03982
A0A1G0GCA2	0.03982
A0A366CWI9	0.03754
V2UFK9	0.03754
A0A3L8PRK6	0.03754
A0A5R8QTR7	0.03754
A0A5V6DL76	0.03539
A0A0D1FH99	0.03539
A0A366F7M2	0.03539
W7QCN6	0.03539
V9HDG7	0.03336
A0A7D5QHE9	0.03336
A0A5E8FKG2	0.03336
A0A1B7I681	0.03336
