PDB_ID	bits
6yxuC	9.906
4i1kB	9.906
6dcfC	9.906
5n69A	9.906
3op1A	9.344
5tukC	9.344
7oibD	9.344
1xa9A	9.344
2v3mF	9.344
8eniA	9.344
6apwA	9.344
4dq2A	9.344
7wi3r	8.813
6gmaD	8.813
6zqcUH	8.813
6n04A	8.813
4iv9B	8.813
6gmaA	8.813
1ndaA	8.813
5tukD	8.813
6f6wC	8.313
1z47B	8.313
5vy1B	8.313
8cjeB	8.313
5myjAL	8.313
6konC	8.313
7khoD	8.313
5fhfA	8.313
5m9nA	8.313
5z78C	8.313
2dfkC	8.313
5tuiA	8.313
4mheB	7.841
4rg2B	7.841
6aqqA	7.841
2hbpA	7.841
5umwB	7.841
2rf0B	7.841
6l3gA	7.841
2va8B	7.841
7tn8A	7.395
5qu2B	7.395
8qyrB	7.395
4a9wB	7.395
1t6eX	7.395
4hb9A	7.395
6xywAb	7.395
4gdpA	6.975
4c5oD	6.975
6kybD	6.975
A0A3B0IRG7	0.0245
A0A127F9X0	0.01365
A0A1I2ZI99	0.01081
A0A382JJ60	0.004241
A0A1I3UZS2	0.002656
K1ZHA6	0.0009273
A0A2K8KQ46	0.0008249
A0A0A8UR95	0.0006922
A0A3M5MJS7	0.0006158
A0A1G0HYG1	0.0006158
T0ZP94	0.0005479
A0A1R4H9S0	0.0004597
A0A837WUU2	0.0003432
A0A1G1HX31	0.000215
D4G7Z6	0.000215
A0A0H4TTI8	0.0001514
A0A660RJI8	0.0001514
A0A1G0FBT2	0.0001428
A0A1H3CVJ3	9.482e-05
A0A1T5G6Y6	7.504e-05
A0A2R6Y2T1	7.078e-05
A0A2N3G5Y8	5.939e-05
B2A4G0	4.984e-05
A0A1G8PBT6	4.701e-05
A0A6P1LGW7	4.434e-05
A0A381RMC4	3.721e-05
A0A7Y2FGQ6	3.721e-05
A0A7V9BS46	3.509e-05
A0A0Q0U5U1	3.31e-05
A0A4Q4JES5	2.62e-05
X0U093	1.74e-05
A0A1G7XK30	1.46e-05
A0A562LZ11	1.377e-05
G8PE31	1.377e-05
A0A1F8VB19	1.028e-05
A0A6J6KGL5	9.145e-06
A0A2N1UR60	8.625e-06
A0A3A0FQG4	8.136e-06
A0A075JJ20	8.136e-06
W8A8T2	7.674e-06
A0A837ADY1	7.238e-06
A0A4P5REY1	6.827e-06
C9KPC9	6.827e-06
A0A536SBP4	6.827e-06
A0A1H9SDR2	6.439e-06
X1R9Q5	6.439e-06
A0A7C3BK01	5.728e-06
A0A2E5P4F9	5.728e-06
A2T368	5.403e-06
A0A4Q1STT3	5.403e-06
