PDB_ID	bits
7a76C	9.992
7dv4C	9.992
3w88A	9.992
1ktbA	9.992
4n8pA	9.396
5ys6A	9.396
7kdpA	8.836
1wo8A	8.309
6ru5A	7.813
2huhA	7.813
2a74A	7.813
1cf1B	7.347
7vrrB	7.347
2yjlA	7.347
2dstB	7.347
6n91B	6.909
7bqoA	6.909
5zjmB	6.909
5tr3B	6.497
5ax7A	6.497
6aonB	6.497
4u0pB	6.497
3l5nA	6.497
3ugxC	6.497
3q48B	6.497
4hx3J	6.497
8enuG	6.11
1uf3C	6.11
2fb6A	6.11
7faoC	5.745
7nfcH	5.745
1b3yA	5.402
7evcB	5.402
4hx3D	5.402
7zg0E	5.402
8u2vB	5.08
8d7hE	5.08
2qkiA	5.08
6c2vA	4.777
8ajkA	4.777
5csaA	4.492
3steA	4.492
5flgA	4.224
4ywoA	4.224
5w40D	4.224
7f1wA	4.224
7bqpA	3.972
8f3dA	3.735
3u9tB	3.735
2j289	3.735
A0A2J8IYX9	9.931
F7AL68	9.931
A0A2I3GGZ8	9.931
A0A2Y9RZR0	9.931
A0A7K7A294	9.931
F7CLK5	9.931
A0A811Z3L8	9.931
A0A852DDY8	9.931
A0A7K6DBB4	9.931
A0A7K8J0B5	9.931
K7G3N4	9.931
M7CFL1	9.931
A0A7K6EK71	9.339
A0A7K6B2C7	9.339
A0A4D9DUU1	9.339
A0A6P9APG2	9.339
A0A4X1U1F8	9.339
L5LX78	9.339
A0A7K8YD98	9.339
A0A5F4C3I7	9.339
A0A850UUS4	9.339
A0A218UL92	9.339
A0A7M4F1K6	9.339
A0A7L2QRD5	9.339
A0A6J2ZY79	9.339
A0A835TTR8	9.339
A0A0Q3WR92	9.339
A0A401TI28	9.339
G5BPM7	8.782
A0A1L8FDV5	8.782
Q70AG6	8.782
A0A3Q3F4H4	8.782
A0A674NS80	8.782
A0A553NJF0	8.782
A0A674NXE8	8.782
A0A3B4CRP3	8.782
A0A0P7ULF7	8.782
A0A4Z2CEI9	8.782
A0A6A4TM67	8.782
A0A3B5B4Q0	8.782
A0A671W7J3	8.782
A0A2I4BJX7	8.782
I3K4U0	8.258
A0A3B3UDQ2	8.258
A0A2K5ZTN2	8.258
A0A2K5RAQ3	8.258
A0A1A6FYB3	8.258
A0A3B4CS14	8.258
A0A5J5N8C6	8.258
A0A673TPT2	8.258
