PDB_ID	bits
1t9wA	9.398
7kj9A	9.398
6sguA	8.993
4lzcA	8.993
1j98A	8.606
7y8vE	8.606
7v4yB	8.606
6vejC	8.236
7y8xE	8.236
3t56A	8.236
5wobE	7.881
2ktyA	7.881
2jboA	7.542
3fmbB	7.217
1t9uA	7.217
5s7kB	6.906
5wobB	6.609
5cheB	6.609
4wuaA	6.609
7kf7B	6.325
2cjaB	6.052
5cioA	5.792
7a46A	5.792
7oumA	5.304
2bujA	5.075
5wobF	4.857
7o3lB	4.648
6b05A	4.448
7oulA	4.256
5yjlA	4.073
8bqsB	4.073
2xo6D	3.898
5cheA	3.898
6t0bA	3.73
2xmaB	3.569
6z12A	3.416
1tt4B	3.269
7a67B	3.128
7rr8A	3.128
1iwgA	2.993
1t9tA	2.993
4kgkD	2.993
3k07A	2.993
5abyA	2.993
2v50A	2.51
6z12B	2.299
1j5uA	2.2
6z12C	2.2
2rddA	2.105
4kgmB	2.105
A0A6P7L5I2	8.602
A0A3M0KT21	8.602
A0A212CU79	8.232
A0A1E1XCD4	8.232
K9KC03	7.878
A0A672MSS9	6.606
A0A3Q2FZF4	6.606
K1QI94	6.322
A0A4Y2K6I8	6.322
A0A7M7M1G5	6.322
A0A1X7VVG7	5.789
A0A1W0W984	5.789
A0A7R8UQL3	5.301
A0A0J7KWE4	5.301
A0A2L2XWG3	5.301
A0A182PEH4	5.301
A0A1D1UWI6	5.301
U3RCG9	4.855
A0A1B6FNA2	4.855
A0A7M7LTE4	4.855
A0A158NWC6	4.646
A0A0J7MUL0	4.446
A0A7G4WM59	4.446
A0A1B0EYV2	4.254
A0A8B6FTH4	4.254
A0A5J6DKK9	4.254
R0G4Q8	4.071
A0A2H8TZW9	4.071
A0A1I8Q3F0	4.071
A0A0D2X3I8	4.071
A0A6J0K8H6	4.071
A0A1B0DDJ5	3.896
A0A369HIC2	3.896
A0A5J6E2C8	3.728
A0A2G8KUF2	3.728
A0A0V1MY09	3.728
A0A433PBX1	3.568
A0A0D2NPR3	3.414
A0A386RU73	3.414
H9J142	3.414
A0A6A5BXV5	3.414
A0A151ZJ45	3.414
A0A4V6DV16	3.267
A0A0L0DC29	3.267
A0A7M3PYX0	3.127
A0A507C4D2	3.127
B0DTW0	3.127
A0A7E4UVP0	2.992
A0A0C2XXY1	2.992
A0A388LT57	2.992
