PDB_ID	bits
5xlrC	8.323
7b18A	7.851
5i08A	6.588
5vxjC	6.588
8fezC	6.214
4lnvC	5.861
7v1vA	4.919
2j0nB	4.639
7zgnB	3.464
8h2iab	2.17
8dhlB	2.047
4xohA	1.62
4r4zD	1.62
6oj0T	1.282
4r4xA	1.21
5mhmB	1.141
3ks7C	0.9575
8dhlA	0.5999
7db5A	0.5337
6x86C	0.5337
6q68C	0.3154
4xupA	0.2647
6x81E	0.2496
6hmvA	0.2355
3lxuX	0.1976
7kpbB	0.1758
6wpxA	0.1758
5b4xA	0.1475
6x83F	0.1313
5hzfA	0.1313
3a7qA	0.1101
2e26A	0.1039
2wnvB	0.09799
5mu8_f	0.08223
5awqA	0.07316
2cdpA	0.06139
7ta6F	0.05462
3p1iC	0.0486
6x81D	0.04584
5fuiA	0.04323
1wmeA	0.04078
5l73B	0.04078
2cdoC	0.04078
4qawB	0.03846
6a48A	0.03846
1d2qA	0.03628
2vzrA	0.03228
8hcjF	0.03045
4twtD	0.03045
5lf2B	0.02872
