PDB_ID	bits
4cnhA	9.905
5clvM	9.905
6yt6A	9.905
6g2hF	9.905
4asiE	9.905
4asiD	9.905
4asiF	9.256
2denA	9.256
3e21A	9.256
5clvE	9.256
4asiC	9.256
1wr1B	8.648
6jqsA	8.648
2cp9A	8.648
5clvN	8.648
2cobA	8.648
7rpwE	8.081
2bweC	7.056
2lvaA	7.056
2do6B	7.056
1zljC	6.593
7t30A	6.593
6wboA	6.593
2muuA	6.161
3thgA	6.161
5ks8F	6.161
6w2hA	6.161
5cktB	5.757
2qhoH	5.026
8hawB	4.697
2dzlA	4.697
7f7xB	4.697
2l4eA	4.101
3rr5A	3.581
1tr8A	3.346
7tgpA	2.921
2cosA	2.73
2dalA	2.551
2di0A	1.586
2ejsA	0.8051
4g3oA	0.8051
2damA	0.7029
2ekfA	0.2073
2lvoC	0.1937
1wglA	0.1937
G0VC39	9.441
A0A0P1KWX5	9.441
A7TT41	9.441
A0A1X7R4J2	9.441
R9XGA2	9.441
A0A0A8L741	9.441
I2H1C1	9.441
Q6FS98	9.441
A0A0W0DHS5	9.441
A0A0W0CV05	9.441
H2AQL9	9.441
G0WAT8	9.441
I2GYE7	9.441
J7RP09	9.441
G0VB61	9.441
H2ATW6	9.441
A0A7D9GXY7	9.441
A0A167EP15	9.441
A0A642V4N1	9.441
A5E2L2	9.441
A0A367YG97	9.441
A0A1E3PTA2	9.441
Q59NY7	9.441
A0A5E8BZH2	9.441
I1BVR3	9.441
A0A1D2VQ48	9.441
K0KAE6	9.441
A0A1C7MUN3	9.441
A0A1X0S5G7	9.441
A3LVB3	9.441
A0A1E4U2L6	9.441
G8BHP4	9.441
G8YHP1	9.441
A0A2P7YM58	9.441
A0A2V1B149	9.441
A0A1X0QQE1	9.441
A0A4T0X375	9.441
A0A1E3PYW2	9.441
A0A2H5T7P7	9.441
A0A2T9YWG1	9.441
A0A0J9X2X9	9.441
A0A1V2LD02	9.441
A0A2Z6QKJ7	9.441
A0A397ULY6	9.441
A0A512U607	9.441
Q6C131	9.441
A0A167GJY7	9.441
A0A1R1YFL3	9.441
A0A0C2YRF7	8.822
A0A448YGK7	8.822
