PDB_ID	bits
3h6oA	9.466
5x1vB	9.466
8tbsE	9.466
6nn8E	9.466
4qg8C	9.466
6nn7E	9.466
4ztcA	9.466
3me3B	9.466
7l21D	9.466
6jfbD	8.903
6wp5C	8.903
4ip7D	8.903
6wp6A	8.903
6tthA	8.903
5da8H	8.903
5sc9H	8.903
6nn5D	8.373
4qgcD	8.373
8hmrD	8.373
4ks0A	8.373
7uehG	8.373
3n25C	8.373
6wp6C	8.373
3h6oD	7.875
2vgiA	7.875
7fs5E	7.875
3me3D	7.875
5sceA	7.875
8tbsA	7.875
5x0iD	7.875
1kjjA	7.875
6wp3B	7.875
3khdC	7.875
6nu1D	7.406
8hmsA	7.406
8tbuB	7.406
4ejmA	7.406
3g2gB	7.406
3srdD	7.406
8eu4F	7.406
3h6oC	7.406
8f6mG	7.406
8edsB	7.406
5x1wD	7.406
3dqqA	6.965
2vgiD	6.965
1o69A	6.965
8hmrB	6.965
6nn8G	6.965
4qg8B	6.965
A0A6A1QI75	0.1287
A0A250YDB0	0.1071
A0A485PFG6	0.08907
W5PMF1	0.05127
A0A480ZFR1	0.03548
A0A1S3GAM5	0.02952
F6ZZ87	0.02776
A0A6J3BE16	0.02455
A0A6J3FDZ5	0.01699
A0A803WB34	0.01598
A0A093NXD9	0.01503
M7BX61	0.0125
A0A6P7WXR7	0.0125
A0A674HZJ4	0.01176
A0A803VBN6	0.01106
D3Z380	0.009198
A0A2K6FDE7	0.009198
A0A4W2DRM5	0.003896
A0A6P6RGI1	0.003664
A0A3B4EHI3	0.003446
A0A2U4C5N7	0.003241
A0A4U1F3U3	0.003048
A0A6P7I7F6	0.002696
A0A6G1QY67	0.002535
A0A6P7P1E5	0.002385
H2M2Y2	0.001984
A0A3Q1J4N4	0.001866
A0A668TGQ4	0.001755
H2SD52	0.001459
A0A151MNX0	0.001459
A0A671VXK9	0.001373
A0A7K9P3M6	0.001373
A0A1L8FY28	0.001214
A0A669C138	0.001214
A0A669F126	0.0008401
A0A3B3Q298	0.0006989
A0A6F9CRK6	0.0006989
A0A3P8NUJ1	0.0006989
A0A6J2WMY8	0.0006573
K4FSU0	0.0006182
A0A669DKL7	0.0006182
Q6I929	0.0004278
A0A5F5Q1L8	0.0004278
A0A401SNW3	0.0003784
A0A315VCU6	0.0003558
A0A4X1VMC4	0.0003347
F6SAA6	0.0003147
A0A384C872	0.0002462
A0A6J0GQ21	0.0001812
A0A7K9X3Y0	0.0001704
