PDB_ID	bits
6zzbA	9.55
4aptB	9.55
7ea3N	9.55
3l0xA	9.037
7wg5AE	9.037
3d7qB	8.551
4ub5A	8.551
6ty4B	8.551
3ogdA	8.551
7zlfAAA	8.551
8bhyD	8.551
2zudB	8.551
3oh6A	8.551
7u8fA	8.551
7b28G	8.092
2yt0A	8.092
6z2cC	8.092
5udmB	8.092
5hcdC	8.092
2y8fC	8.092
3wewA	8.092
4mf8A	8.092
7b28B	7.657
3oz2A	7.657
4ib9A	7.657
5umdN	7.245
2h02A	7.245
6hxtA	7.245
2vanA	7.245
5t5hP	6.856
6suaC	6.856
8aluA	6.856
5u8gA	6.856
3ulbA	6.856
4xk8E	6.856
2dflA	6.487
5ow1A	6.487
6xu8CA	6.487
7lx0P	6.487
8p5dLM0	6.138
7tbbA	6.138
5udnB	6.138
4m9nA	6.138
3saoB	6.138
5u8hA	5.808
6igmB	5.808
6s3yB	5.808
8j7bE	5.496
6h8sA	5.496
1yb5A	5.496
A0A3Q7NIJ7	7.679
S7P9V2	6.156
U6DVM2	5.825
A0A1A7YHC5	5.825
A0A1A7XCH7	5.825
A0A4Z2C287	5.512
A0A2D4JRH2	5.512
A0A4W3IF19	4.419
A0A6J1W5E4	4.181
A0A4Z2HNW1	3.957
G3PZP4	3.957
A0A4W5L213	3.957
A0A3P9JP58	3.744
A0A401PQL5	3.543
A0A4W5LHF1	3.172
A0A3B3XBI5	3.172
A0A7J5ZTV6	3.002
A0A0B6Z2K7	2.84
V4AVZ2	2.688
A0A3Q3EDQ8	2.688
A0A4Y2JS45	2.688
A0A819DAH2	2.543
A0A817JTF2	2.543
A0A7J7KHK8	2.543
A0A818F4S7	2.406
A0A818X947	2.277
A0A818HLA6	2.277
W6NHA3	2.155
A0A818V896	2.155
A0A0N4X193	2.155
A0A7J7KIK3	2.039
W2TQ89	1.929
H2Y283	1.929
A0A3P7Z888	1.929
A0A2G5VI11	1.825
A0A6A5HR74	1.825
A0A158P5S2	1.825
A0A0D6M1A2	1.727
A0A0R3RLI2	1.727
A0A1I8ELD9	1.727
A0A368GS58	1.727
A0A3P7YBI7	1.635
A0A3P7FRY4	1.635
A0A158PIX5	1.635
A0A183DA61	1.547
A0A498T0K2	1.547
A0A1I9G6P4	1.547
A0A0M3HQT5	1.547
A0A016SBU8	1.464
A0A1S0U9X9	1.464
