PDB_ID	bits
5yzmB	0.2635
8hcqA	0.003719
6uvaA	0.001131
7ohub	0.0009976
6nbiA	0.0005676
6x19A	0.0005676
7jjoA	0.0003229
8wc5A	0.0002849
7fiiA	0.0002849
6nbfA	0.0002218
7ohpb	0.0001523
7tmwR	0.000143
4z51A	0.0001262
7ohyb	0.0001262
7w53A	0.0001185
6g79A	0.0001185
8hcxA	0.0001113
7f53A	0.0001046
7xwoF	0.0001046
7z8fr	9.82e-05
7z8fq	9.82e-05
7y27B	9.82e-05
7xp5A	9.82e-05
8wcaC	9.224e-05
6nbhA	8.137e-05
7xy7A	7.643e-05
3ftqB	7.643e-05
6wwzA	6.743e-05
7dhiA	6.333e-05
3bb1H	6.333e-05
8g2yA	6.333e-05
8wc8A	6.333e-05
1u81A	5.949e-05
7um7B	5.587e-05
7x1uB	5.248e-05
8jipA	4.929e-05
7ezkA	4.349e-05
8jr9A	4.349e-05
8wc4A	4.085e-05
8hj2A	4.085e-05
8jisA	4.085e-05
7ranB	3.604e-05
7z8fj	3.604e-05
6u45A	3.604e-05
8h0pA	3.604e-05
7wy8A	3.385e-05
7f4fA	3.385e-05
6li3A	3.385e-05
7w56A	3.179e-05
7xjhA	3.179e-05
