PDB_ID	bits
4eagA	9.918
4ealA	9.918
3ikaA	9.918
3en8A	9.918
6s6vC	9.918
1ce8A	9.918
2lbvA	9.918
4fhnB	9.918
5x7yA	9.918
2j5fA	9.918
8ajsDDD	9.918
1l7eB	9.918
8amcD	9.918
8cukB	9.918
2v9jA	9.918
4rvuD	9.918
2qosC	9.918
1zthB	9.335
7q2nAAA	9.335
4j97C	9.335
6v04A	9.335
4hpcA	9.335
1g85B	9.335
6w3gB	9.335
1srqC	9.335
2ovaA	9.335
3jylA	9.335
1x15B	9.335
4rvuB	9.335
7eskA	9.335
5k1sD	9.335
4wkgA	8.787
3k1lA	8.787
4fhmB	8.787
6qviA	8.787
8k80B	8.787
5odsD	8.787
6fv3C	8.787
6slhCCC	8.787
7lwcB	8.787
5dl0A	8.787
4fhnD	8.787
1i06A	8.787
1x14A	8.787
2hlvA	8.787
4r80B	8.787
7vt0B	8.787
7b2aA	8.787
3zq3B	8.271
5hlmA	8.271
