PDB_ID	bits
4beuA	9.396
2dokA	6.733
2zudB	6.369
5fphF	5.391
7am2BK	5.1
7agzA	4.825
2x9qA	4.564
5fphE	3.863
3oqvA	3.655
4tn1A	3.094
2evrA	2.097
8h4mA	2.097
4c2gA	1.679
7b70D	0.7717
3vaaC	0.6533
4c2hB	0.553
1v1cA	0.5231
4c2eB	0.5231
3vaaB	0.4948
6iqrB	0.4681
6iqqC	0.3963
2rczA	0.3546
6cpkA	0.3546
4c2dB	0.2686
3h0kB	0.2541
3cyyA	0.2541
2jweB	0.2151
2osgB	0.1925
6iqrA	0.1629
6vbbA	0.1629
3e17B	0.1629
2yunA	0.1541
5wqlC	0.1458
4zo4C	0.08845
5wqlD	0.08845
2kr3A	0.07915
1zx6A	0.07915
1ue9A	0.07083
5veiA	0.067
6jp5B	0.05672
3suzA	0.04801
1udlA	0.03637
1fcfA	0.03255
2moxA	0.03255
7a2lA	0.03079
4lnpA	0.02755
2d1xA	0.02755
6b25A	0.02606
2ke9A	0.02465
2jm8A	0.02465
F7EZ93	0.07867
A0A7N8WK61	0.0404
V9KJX2	0.0133
A0A093NPJ8	0.005174
A0A2K6A3L3	0.004144
A0A493TFW1	0.003318
A0A3B4D8I3	0.002657
A0A2I0MBG2	0.001221
A0A3B4D7B6	0.001093
A0A6J2PIH4	0.0009249
Q59FY1	0.0008749
A0A673X1D4	0.0007829
A0A3Q3E670	0.0006628
A0A7L1GLK9	0.0006628
A0A4X1UAX4	0.000627
A0A673WRF8	0.000627
A0A2D0SNB3	0.0005931
A0A671KRJ7	0.0005931
A0A6J2PC04	0.0005931
A0A6P7TAL0	0.000561
A0A2K6FT21	0.000425
A0A336KJF8	0.000425
A0A0P5GUP9	0.0003598
A0A1L8DMS3	0.0003403
A0A7F5R2L9	0.0003219
A0A6J1M7K3	0.0002578
A0A0K2T4A2	0.0002439
P31007	0.0001953
T1G237	0.0001953
B4N1U3	0.0001748
A0A5N3XIN9	0.0001653
A0A673MWT2	0.0001653
A0A6P7TAT2	0.0001653
A0A6P4J6B1	0.0001653
A0A1W0WKY9	0.0001479
A0A7N8WU99	0.0001479
A0A7M7NQD0	0.0001399
A0A6P4J4Z2	0.0001399
A0A091KN94	0.0001252
A0A485PL38	0.0001185
A0A6P4JLB8	0.0001185
A0A6Q2Z655	0.0001121
A0A1I7SDE3	0.0001121
E4WX46	0.000106
A0A1A8D2R2	0.000106
K1QR13	0.000106
A0A5F8HDR9	9.486e-05
A0A0A1WIM0	8.489e-05
A0A811XC50	8.489e-05
A0A250YGL8	8.489e-05
