PDB_ID	bits
5s5nD	9.887
7dvzA	9.887
4b3nB	9.887
8f0oC	9.887
1xjmA	9.296
5hj9A	9.296
6gj4A	9.296
5jj4B	9.296
5x2mD	8.74
1mmfE	8.74
7wi6A	8.74
4xxvB	8.217
3o1iD	8.217
7dblC	8.217
6nkmD	8.217
6xesA	7.725
3o1iC	7.725
1ii5A	7.725
7v3xH	7.263
6f7cA	6.829
7v3xR	6.829
8grbP	6.829
6rmwB	6.829
8bdeA	6.42
2f5xC	6.42
3qujB	6.42
2iv0B	6.42
3ah3A	6.42
6jfzC	6.036
5hjaA	6.036
3blxC	6.036
6qqnA	6.036
4kqcA	5.675
1bs2A	5.675
5m8gA	5.675
4yv7A	5.675
2f1jA	5.336
3jqeC	5.336
4mr8B	5.336
5syeA	5.017
5ksqB	5.017
2zubB	5.017
4f12A	5.017
7xriB	5.017
7m6uD	5.017
2p9jE	4.717
5aa4B	4.717
3rotA	4.717
1xu4A	4.435
3i09B	4.435
