PDB_ID	bits
2y1mE	9.202
2y1mB	8.702
8qniA	8.702
3zniI	8.702
5j3xA	7.783
2fu4A	7.783
3uo9B	7.36
5j3xF	7.36
3unwC	6.583
3vgoA	6.225
2l5yA	6.225
5hkxA	5.887
6c96A	5.887
1mzbA	5.887
5o76A	5.567
7tvyD	5.265
6h1cB	5.265
7tvyC	4.709
5kgqA	4.453
5nbcC	4.211
6o03A	3.983
3lajA	3.983
3lapC	2.849
5nbcD	2.548
7sqcE3	2.548
6p5wA	1.928
4p5oF	1.823
2jq6A	1.542
5ufiC	1.304
7n6g1S	1.166
2kgrA	1.166
7n6g1R	1.043
3kevA	1.043
6b5qA	0.8822
1j7rA	0.7056
4gaoD	0.6673
8g3d7R	0.6311
6xjxQ	0.5968
7k5bR	0.4774
4gbaB	0.4515
1c07A	0.4515
5c5vA	0.4515
7sqcE1	0.427
2m7mA	0.3611
7moqT	0.323
6wdoS	0.323
2g2bA	0.2888
2aucB	0.2888
6xjxR	0.2583
3tdzB	0.2443
A0A6A2ZKS3	0.008933
A0A814FLQ9	0.003657
A0A075ASI0	0.002616
M5WAL0	0.002092
A0A6I8NT25	0.001871
A0A401T7K9	0.001871
A0A060WIX3	0.00177
A0A384BL65	0.001497
A0A3Q3GBU4	0.001415
B0WM51	0.001415
A0A1B0CSD7	0.001197
A0A7J7R9D7	0.0009576
A0A0Q3NFG3	0.0009056
A0A026WD73	0.0008564
A0A821S4K4	0.000685
A0A3P9IWQ6	0.000685
W3VTX4	0.0006478
A0A6P5D9Q4	0.0006127
A0A0V1MZ12	0.0005794
A0A419Q9B1	0.0005479
A0A833U2G6	0.0004383
K1QFB2	0.000392
W1PSL2	0.0003506
A0A1D3D906	0.0002804
A0A5F4CLF7	0.0002652
A0A091CIL8	0.0002508
A0A7I8W3G9	0.0002372
A0A669PFZ8	0.0001897
A0A091D739	0.0001697
F7EEC4	0.0001604
B4FBY6	0.0001357
A0A366NWJ8	0.0001214
A0A0D2BXW5	9.181e-05
S8EN41	8.211e-05
A0A0S4JFC8	8.211e-05
W5NCF6	8.211e-05
A0A2P5WF63	7.344e-05
A0A484LEP9	6.568e-05
A0A7S3WEU1	4.968e-05
A0A397W090	3.974e-05
A0A814H9D8	3.361e-05
K7GAJ3	3.179e-05
A0A4W4GX93	2.688e-05
A0A6U6L959	2.688e-05
A0A3P8Q9N4	2.274e-05
A0A0N8K0M2	1.819e-05
A0A0M0JRE2	1.627e-05
A0A3N0XW76	1.538e-05
P11118	1.301e-05
G1X4H3	1.301e-05
