PDB_ID	bits
2wsxC	5.835
2wswA	0.6657
3p03A	0.6657
2witC	0.2675
7phqB	0.189
7kgvB	0.181
7kgvA	0.1279
3p03B	0.1172
4dojB	0.09436
4c7rC	0.08651
6d9wA	0.06963
7sl9A	0.06667
2x79A	0.06113
3p03C	0.05853
6yv1A	0.0492
7d90B	0.0396
7airB	0.03631
7aiqA	0.03329
4ainA	0.03052
4dojC	0.03052
6c08C	0.02922
4llhA	0.02456
4llhC	0.02252
6s3kB	0.02065
7d14A	0.01662
4llhB	0.01662
7airA	0.01397
7uuyA	0.01226
6y5vB	0.01226
7uv0A	0.01124
2xq2B	0.01031
6m23A	0.009451
7slaA	0.007607
5m95A	0.007283
5nv9A	0.005146
2xq2A	0.004928
2jlnA	0.004718
7qiaA	0.003966
3ncyB	0.003798
7ynkA	0.003798
3ncyD	0.003482
6kkrA	0.003334
4djkB	0.003334
3ncyA	0.003192
8ontA	0.003057
3dh4A	0.002927
4ainB	0.002683
6jmqA	0.002569
8hdhA	0.002356
7ngbB	0.002256
