PDB_ID	bits
2biwB	9.566
6xedA	9.566
4rifA	9.566
6stwC	9.566
6cwvA	9.566
5vaeG	9.566
7x7lC	9.566
2bzlA	9.566
1iibA	9.566
4fq5B	9.566
1y8cA	9.566
5f54A	9.566
2c7sA	8.998
6nijC	8.998
6pk4A	8.998
7zqjA	8.998
4rihB	8.998
6mv6A	8.998
1y7pA	8.998
3cffA	8.998
1i57A	8.998
3brqA	8.998
5vafB	8.998
8bk2B	8.998
3czcA	8.998
5z3mA	8.998
2a50C	8.998
5tpzA	8.464
2q62D	8.464
4oatA	8.464
1jfsA	8.464
3lf4A	8.464
5z16B	8.464
6dqpA	8.464
1vcnA	8.464
7z2vB	8.464
3p73A	8.464
4e5vB	8.464
3pegA	8.464
2acwB	7.962
6cqbB	7.962
6m36G	7.962
2nv5C	7.962
3cfaH	7.962
6fkmB	7.962
5njfA	7.962
4m5tC	7.962
5excC	7.962
8eofC	7.962
4d0dJ	7.49
