PDB_ID	bits
8a1gB	9.583
6xs4A	9.583
1ej8A	9.583
5dhdA	9.583
4ojaA	9.583
7odyA	9.583
7a0gGGG	9.583
7odyB	9.583
4k9eC	9.068
7u06E	9.068
3qy9D	8.12
2luhA	8.12
5a9hA	7.27
4fzsA	7.27
6gybb	7.27
4zbfD	6.88
7k75I	6.88
1jk9B	6.88
7jn7C	6.16
8dl0A	5.829
6kzbC	5.829
2ddmA	5.516
3hc2A	5.516
7mmoD	5.516
8hcrT	5.516
7ui8A	5.22
1r9dB	5.22
8brnD	4.939
5t9gA	4.939
6cjzA	4.674
8dneA	4.674
8bvsA	4.423
2a9bA	4.185
1soxA	4.185
5u9mD	3.546
2a9dB	3.546
1ky7A	3.355
4wyqD	3.004
8dncC	3.004
5t9aB	3.004
6mvfE	3.004
1i8lD	3.004
2druA	2.843
3f65G	2.843
1soxB	2.69
5ag9B	2.69
2m83A	2.546
1owwA	2.546
5t9gB	2.409
2djuA	2.279
